TAXA	Alloscardovia	Anaerostipes	Basfia	Bergeyella	Burkholderia	Chryseobacterium	Eggerthella	Gordonibacter	Gulbenkiania	Helcobacillus	Helicobacter	Holdemanella	Isoptericola	Methylibium	Nitrospira	Paracoccus	Psychrobacter	Riemerella	Ruminiclostridium	Sanguibacter	Stomatobaculum	Tepidiphilus	Xylanimonas
Alloscardovia	0.0	0.9999999999999925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerostipes	0.9999999999999925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Basfia	0.0	0.0	0.0	0.8150214278151393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8150214278151393	0.8150214278151393	0.0	0.0	0.0	0.0	0.0	0.0
Bergeyella	0.0	0.0	0.8150214278151393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999863	0.9999999999999863	0.0	0.0	0.0	0.0	0.0	0.0
Burkholderia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chryseobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8231505790533128	0.0	0.0	0.0	0.0	0.0
Eggerthella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.827134174965724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gordonibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.827134174965724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gulbenkiania	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Helcobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999999999999988	0.0	0.0	0.0	0.0
Helicobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8135220844071646	0.0
Holdemanella	0.9999999999999925	0.9999999999999925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Isoptericola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81502142781514	0.81502142781514	0.0	1.0000000000000089
Methylibium	0.0	0.0	0.0	0.0	1.0000000000000098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nitrospira	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Paracoccus	0.0	0.0	0.8150214278151393	0.9999999999999863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999863	0.0	0.0	0.0	0.0	0.0	0.0
Psychrobacter	0.0	0.0	0.8150214278151393	0.9999999999999863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999863	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Riemerella	0.0	0.0	0.0	0.0	0.0	0.8231505790533128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ruminiclostridium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999999999999988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sanguibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81502142781514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999863	0.0	0.81502142781514
Stomatobaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81502142781514	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999863	0.0	0.0	0.81502142781514
Tepidiphilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8135220844071646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Xylanimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000089	0.0	0.0	0.0	0.0	0.0	0.0	0.81502142781514	0.81502142781514	0.0	0.0
