TAXA	Abiotrophia	Acidovorax	Acinetobacter	Actinobaculum	Actinomyces	Afipia	Aggregatibacter	Alistipes	Anaerococcus	Anaeroglobus	Atopobium	Bacillus	Bacteroides	Blautia	Bradyrhizobium	Brochothrix	Bulleidia	Campylobacter	Capnocytophaga	Cardiobacterium	Carnobacterium	Catonella	Cellulomonas	Centipeda	Citrobacter	Conchiformibius	Corynebacterium	Dialister	Dolosigranulum	Eikenella	Enterococcus	Eubacterium	Faecalibacterium	Filifactor	Fusobacterium	Gemella	Gordonia	Granulicatella	Haemophilus	Isoptericola	Janibacter	Johnsonella	Kingella	Kytococcus	Lachnoanaerobaculum	Lachnoclostridium	Lactobacillus	Lactococcus	Lautropia	Leucobacter	Mannheimia	Megasphaera	Mitsuokella	Mobiluncus	Mogibacterium	Morococcus	Mycobacterium	Mycoplasma	Necropsobacter	Neisseria	Novosphingobium	Olsenella	Oribacterium	Ottowia	Parabacteroides	Paraprevotella	Parvimonas	Peptoclostridium	Peptoniphilus	Peptostreptococcus	Porphyrobacter	Porphyromonas	Propionibacterium	Pseudoflavonifractor	Pseudomonas	Psychrobacter	Roseburia	Rothia	Sanguibacter	Scardovia	Selenomonas	Simonsiella	Slackia	Snodgrassella	Solobacterium	Sphingobium	Staphylococcus	Stenotrophomonas	Stenoxybacter	Stomatobaculum	Streptococcus	Tannerella	Thiomicrospira	Treponema	Trueperella	Varibaculum	Veillonella	Xylanimonas
Atopobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8533227443442523	0.0	0.8925915027440303	0.0	0.0	0.9130402631712115	0.0	0.0	0.0
Bacillus	0.0	0.0	0.9988101372060192	0.8491079468284212	0.0	0.994280220005173	0.0	0.9349469900084572	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9414688716912717	0.9925244961648721	0.0	0.0	0.0	0.0	0.0	0.9349469900084572	0.0	0.0	0.0	0.0	0.8629392886844529	0.0	0.0	1.0	0.0	0.985365040882987	0.0	0.0	0.0	0.0	0.9681131650850737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9414688716912717	0.0	0.0	0.9120141660919067	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9017514038833508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8478923218172869	0.8469508359856502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8506408821511158	0.0	0.0	0.8944383322812356	0.0	0.8526312491218002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8918627754890048	0.0	0.0	0.8933488282680648	0.0	0.0	0.0	0.8549301309870785	0.0	0.0	0.9498305240059168	0.0	0.856405147552554	0.0	0.0	0.838238409829391	0.0	0.0	0.0	0.0	0.0	0.825523533268701	0.0	0.0	0.0	0.0	0.0	0.0	0.826175564164182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8713902539688139	0.0	0.0	0.0	0.0
Blautia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8882347881956875	0.0	0.9999999999999992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bradyrhizobium	0.0	0.0	0.9988101372060192	0.8491079468284212	0.0	0.994280220005173	0.0	0.9349469900084572	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9414688716912717	0.9925244961648721	0.0	0.0	0.0	0.0	0.0	0.9349469900084572	0.0	0.0	0.0	0.0	0.8629392886844529	0.0	0.0	1.0	0.0	0.985365040882987	0.0	0.0	0.0	0.0	0.9681131650850737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9414688716912717	0.0	0.0	0.9120141660919067	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9017514038833508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Brochothrix	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9230769230769238	0.0	0.0	0.8478923218172869	0.0	0.0	0.0	0.9999218113905001	0.0	0.0	0.0	0.0	0.9326937205159967	0.0	0.0	0.0	0.0	0.0	0.0	0.9884300000661025	0.0	0.0	0.9911712394556111	0.0	0.9993992475588198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8910421112136307	0.0	0.0	0.0	0.0	0.0	0.0	0.9995350687072085	0.0	0.0	0.8061435194835374	0.0	0.9974193387492998	0.0	0.0	0.9989854545524876	0.0	0.0	0.0	0.0	0.0	0.9884300000661025	0.0	0.0	0.0	0.0	0.0	0.0	0.9414688716912717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9986255194022051	0.0	0.0	0.0	0.0
Bulleidia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9236597958737752	0.0	0.0	0.8469508359856502	0.0	0.0	0.9999218113905001	0.0	0.0	0.0	0.0	0.0	0.9328241101385971	0.0	0.0	0.0	0.0	0.0	0.0	0.9864822529722025	0.0	0.0	0.9913180986542391	0.0	0.9989364508298013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8937000704658674	0.0	0.0	0.0	0.0	0.0	0.0	0.9994842851011634	0.0	0.0	0.8062984185141969	0.0	0.9979637738074564	0.0	0.0	0.9986610743356682	0.0	0.0	0.0	0.0	0.0	0.9902231792254153	0.0	0.0	0.0	0.0	0.0	0.0	0.9372382025111751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9986358124080483	0.0	0.0	0.0	0.0
Campylobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9429153770833048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9466183718356879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9458276977676496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Capnocytophaga	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9282965265888689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9719088188907694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9516533024581366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cardiobacterium	0.9985905362958944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.891574370164262	0.0	0.0	0.0	0.0	0.0	0.9476469073062295	0.0	0.0	0.0	0.0	0.0	0.0	0.9825416915942274	0.0	0.9883136324464139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8300812977798887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8794535129841898	0.9772148629911013	0.0	0.0	0.0	0.0	0.8644779639297554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8038005657608123	0.0	0.0	0.0	0.8085109407036306	0.0	0.0	0.0	0.0	0.0
