	source	target	weight	edge_sample	edcolor
403	candidate division SR1 bacterium RAAC1_SR1_1	Streptococcus anginosus	2.0	Intertype	#cccccc
404	Streptococcus anginosus	Dialister invisus	3.0	Intertype	#cccccc
405	Dialister invisus	Streptococcus anginosus	3.0	Intertype	#cccccc
406	Streptococcus anginosus	Eubacterium brachy	3.0	Intertype	#cccccc
407	Eubacterium brachy	Streptococcus anginosus	3.0	Intertype	#cccccc
408	Streptococcus anginosus	Neisseria sicca	3.0	Intertype	#cccccc
409	Neisseria sicca	Streptococcus anginosus	3.0	Intertype	#cccccc
410	Streptococcus anginosus	Neisseria sp. oral taxon 014	3.0	Intertype	#cccccc
411	Neisseria sp. oral taxon 014	Streptococcus anginosus	3.0	Intertype	#cccccc
412	Streptococcus anginosus	Oribacterium sp. oral taxon 078	3.0	Intertype	#cccccc
413	Oribacterium sp. oral taxon 078	Streptococcus anginosus	3.0	Intertype	#cccccc
414	Streptococcus anginosus	Peptostreptococcaceae bacterium AS15	2.0	Intertype	#cccccc
415	Peptostreptococcaceae bacterium AS15	Streptococcus anginosus	2.0	Intertype	#cccccc
416	Streptococcus anginosus	Prevotella micans	2.0	Intertype	#cccccc
417	Prevotella micans	Streptococcus anginosus	2.0	Intertype	#cccccc
418	Streptococcus anginosus	Prevotella saccharolytica	3.0	Intertype	#cccccc
419	Prevotella saccharolytica	Streptococcus anginosus	3.0	Intertype	#cccccc
420	Streptococcus anginosus	Prevotella sp. oral taxon 472	2.0	Intertype	#cccccc
421	Prevotella sp. oral taxon 472	Streptococcus anginosus	2.0	Intertype	#cccccc
422	Streptococcus australis	Actinomyces naeslundii	2.0	Intertype	#cccccc
423	Actinomyces naeslundii	Streptococcus australis	2.0	Intertype	#cccccc
424	Streptococcus australis	Actinomyces sp. oral taxon 171	2.0	Intertype	#cccccc
425	Actinomyces sp. oral taxon 171	Streptococcus australis	2.0	Intertype	#cccccc
426	Streptococcus australis	Actinomyces sp. oral taxon 175	2.0	Intertype	#cccccc
427	Actinomyces sp. oral taxon 175	Streptococcus australis	2.0	Intertype	#cccccc
428	Streptococcus australis	Actinomyces viscosus	2.0	Intertype	#cccccc
429	Actinomyces viscosus	Streptococcus australis	2.0	Intertype	#cccccc
430	Streptococcus australis	Campylobacter rectus	2.0	Intertype	#cccccc
431	Campylobacter rectus	Streptococcus australis	2.0	Intertype	#cccccc
432	Streptococcus australis	Neisseria subflava	3.0	Intertype	#cccccc
433	Neisseria subflava	Streptococcus australis	3.0	Intertype	#cccccc
434	Streptococcus australis	Peptostreptococcaceae bacterium AS15	2.0	Intertype	#cccccc
435	Peptostreptococcaceae bacterium AS15	Streptococcus australis	2.0	Intertype	#cccccc
436	Streptococcus australis	Prevotella sp. oral taxon 472	2.0	Intertype	#cccccc
437	Prevotella sp. oral taxon 472	Streptococcus australis	2.0	Intertype	#cccccc
438	Streptococcus australis	Prevotella sp. oral taxon 473	2.0	Intertype	#cccccc
439	Prevotella sp. oral taxon 473	Streptococcus australis	2.0	Intertype	#cccccc
440	Streptococcus constellatus	Alloprevotella tannerae	2.0	Subgingival_plaque	#e4cf74
441	Alloprevotella tannerae	Streptococcus constellatus	2.0	Subgingival_plaque	#e4cf74
442	Streptococcus constellatus	Prevotella pallens	2.0	Intertype	#cccccc
443	Prevotella pallens	Streptococcus constellatus	2.0	Intertype	#cccccc
444	Streptococcus constellatus	Prevotella sp. HJM029	2.0	Intertype	#cccccc
445	Prevotella sp. HJM029	Streptococcus constellatus	2.0	Intertype	#cccccc
446	Streptococcus mutans	Campylobacter gracilis	2.0	Intertype	#cccccc
447	Campylobacter gracilis	Streptococcus mutans	2.0	Intertype	#cccccc
448	Streptococcus mutans	Neisseria polysaccharea	2.0	Intertype	#cccccc
449	Neisseria polysaccharea	Streptococcus mutans	2.0	Intertype	#cccccc
450	Streptococcus sp. 1171_SSPC	Neisseria subflava	3.0	Intertype	#cccccc
451	Neisseria subflava	Streptococcus sp. 1171_SSPC	3.0	Intertype	#cccccc
452	Streptococcus sp. 1171_SSPC	Streptococcus australis	3.0	Tongue_dorsum	#ff0000
453	Streptococcus australis	Streptococcus sp. 1171_SSPC	3.0	Tongue_dorsum	#ff0000
454	Streptococcus sp. 449_SSPC	Fusobacterium sp. CM22	2.0	Intertype	#cccccc
455	Fusobacterium sp. CM22	Streptococcus sp. 449_SSPC	2.0	Intertype	#cccccc
456	Streptococcus sp. ACS2	Fusobacterium sp. CM22	2.0	Intertype	#cccccc
457	Fusobacterium sp. CM22	Streptococcus sp. ACS2	2.0	Intertype	#cccccc
458	Streptococcus sp. I-G2	Abiotrophia defectiva	2.0	Intertype	#cccccc
459	Abiotrophia defectiva	Streptococcus sp. I-G2	2.0	Intertype	#cccccc
460	Streptococcus sp. I-P16	Abiotrophia defectiva	2.0	Intertype	#cccccc
461	Abiotrophia defectiva	Streptococcus sp. I-P16	2.0	Intertype	#cccccc
462	Streptococcus sp. SK140	Actinomyces oris	2.0	Intertype	#cccccc
463	Actinomyces oris	Streptococcus sp. SK140	2.0	Intertype	#cccccc
464	Streptococcus sp. SK140	Campylobacter showae	3.0	Intertype	#cccccc
465	Campylobacter showae	Streptococcus sp. SK140	3.0	Intertype	#cccccc
466	Streptococcus sp. SK140	Capnocytophaga sp. oral taxon 326	3.0	Intertype	#cccccc
467	Capnocytophaga sp. oral taxon 326	Streptococcus sp. SK140	3.0	Intertype	#cccccc
468	Streptococcus sp. SK140	Capnocytophaga sp. oral taxon 332	2.0	Intertype	#cccccc
469	Capnocytophaga sp. oral taxon 332	Streptococcus sp. SK140	2.0	Intertype	#cccccc
470	Streptococcus sp. SK140	Gemella sanguinis	3.0	Intertype	#cccccc
471	Gemella sanguinis	Streptococcus sp. SK140	3.0	Intertype	#cccccc
472	Streptococcus sp. SK140	Neisseria gonorrhoeae	2.0	Intertype	#cccccc
473	Neisseria gonorrhoeae	Streptococcus sp. SK140	2.0	Intertype	#cccccc
474	Streptococcus sp. SK140	Streptococcus mutans	2.0	Intertype	#cccccc
475	Streptococcus mutans	Streptococcus sp. SK140	2.0	Intertype	#cccccc
476	Streptococcus sp. SK643	[Pasteurella] pneumotropica	2.0	Intertype	#cccccc
477	[Pasteurella] pneumotropica	Streptococcus sp. SK643	2.0	Intertype	#cccccc
478	Streptococcus sp. SK643	Aggregatibacter actinomycetemcomitans	2.0	Intertype	#cccccc
479	Aggregatibacter actinomycetemcomitans	Streptococcus sp. SK643	2.0	Intertype	#cccccc
480	Streptococcus sp. SK643	Aggregatibacter segnis	2.0	Intertype	#cccccc
481	Aggregatibacter segnis	Streptococcus sp. SK643	2.0	Intertype	#cccccc
482	Streptococcus sp. SK643	Kingella oralis	2.0	Intertype	#cccccc
483	Kingella oralis	Streptococcus sp. SK643	2.0	Intertype	#cccccc
484	Streptococcus sp. SK643	Neisseria sicca	2.0	Intertype	#cccccc
485	Neisseria sicca	Streptococcus sp. SK643	2.0	Intertype	#cccccc
486	Streptococcus sp. SK643	Neisseria sp. oral taxon 014	2.0	Intertype	#cccccc
487	Neisseria sp. oral taxon 014	Streptococcus sp. SK643	2.0	Intertype	#cccccc
488	Streptococcus sp. SK643	Neisseria subflava	2.0	Intertype	#cccccc
489	Neisseria subflava	Streptococcus sp. SK643	2.0	Intertype	#cccccc
490	Streptococcus sp. SK643	Pasteurella multocida	2.0	Attached	#4e4dfc
491	Pasteurella multocida	Streptococcus sp. SK643	2.0	Attached	#4e4dfc
492	Streptococcus sp. SK643	Prevotella saccharolytica	2.0	Intertype	#cccccc
493	Prevotella saccharolytica	Streptococcus sp. SK643	2.0	Intertype	#cccccc
494	Streptococcus sp. SK643	Streptococcus anginosus	2.0	Intertype	#cccccc
495	Streptococcus anginosus	Streptococcus sp. SK643	2.0	Intertype	#cccccc
496	Streptococcus sp. SK643	Streptococcus australis	2.0	Intertype	#cccccc
497	Streptococcus australis	Streptococcus sp. SK643	2.0	Intertype	#cccccc
498	Tannerella forsythia	Lachnospiraceae bacterium oral taxon 082	3.0	Intertype	#cccccc
499	Lachnospiraceae bacterium oral taxon 082	Tannerella forsythia	3.0	Intertype	#cccccc
500	Tannerella forsythia	Neisseria flavescens	3.0	Intertype	#cccccc
501	Neisseria flavescens	Tannerella forsythia	3.0	Intertype	#cccccc
502	Tannerella forsythia	Prevotella salivae	3.0	Intertype	#cccccc
503	Prevotella salivae	Tannerella forsythia	3.0	Intertype	#cccccc
504	Tannerella forsythia	Prevotella sp. C561	3.0	Intertype	#cccccc
505	Prevotella sp. C561	Tannerella forsythia	3.0	Intertype	#cccccc
506	Tannerella forsythia	Selenomonas sp. oral taxon 149	3.0	Intertype	#cccccc
507	Selenomonas sp. oral taxon 149	Tannerella forsythia	3.0	Intertype	#cccccc
508	Tannerella forsythia	Streptococcus constellatus	2.0	Subgingival_plaque	#e4cf74
509	Streptococcus constellatus	Tannerella forsythia	2.0	Subgingival_plaque	#e4cf74
510	Treponema maltophilum	Bacteroidetes oral taxon 274	2.0	Subgingival_plaque	#e4cf74
511	Bacteroidetes oral taxon 274	Treponema maltophilum	2.0	Subgingival_plaque	#e4cf74
512	Treponema maltophilum	Capnocytophaga sp. oral taxon 863	2.0	Intertype	#cccccc
513	Capnocytophaga sp. oral taxon 863	Treponema maltophilum	2.0	Intertype	#cccccc
514	Treponema maltophilum	Neisseria sicca	2.0	Intertype	#cccccc
515	Neisseria sicca	Treponema maltophilum	2.0	Intertype	#cccccc
516	Treponema maltophilum	Neisseria sp. oral taxon 014	2.0	Intertype	#cccccc
517	Neisseria sp. oral taxon 014	Treponema maltophilum	2.0	Intertype	#cccccc
518	Treponema maltophilum	Prevotella saccharolytica	2.0	Subgingival_plaque	#e4cf74
519	Prevotella saccharolytica	Treponema maltophilum	2.0	Subgingival_plaque	#e4cf74
520	Treponema maltophilum	Streptococcus anginosus	2.0	Intertype	#cccccc
521	Streptococcus anginosus	Treponema maltophilum	2.0	Intertype	#cccccc
522	Treponema socranskii	Abiotrophia defectiva	3.0	Intertype	#cccccc
523	Abiotrophia defectiva	Treponema socranskii	3.0	Intertype	#cccccc
524	Treponema sp. OMZ 838	Fusobacterium sp. CM22	2.0	Intertype	#cccccc
525	Fusobacterium sp. CM22	Treponema sp. OMZ 838	2.0	Intertype	#cccccc
526	Treponema sp. OMZ 838	Streptococcus salivarius	3.0	Intertype	#cccccc
527	Streptococcus salivarius	Treponema sp. OMZ 838	3.0	Intertype	#cccccc
528	Varibaculum cambriense	Capnocytophaga sp. oral taxon 863	2.0	Intertype	#cccccc
529	Capnocytophaga sp. oral taxon 863	Varibaculum cambriense	2.0	Intertype	#cccccc
530	Varibaculum cambriense	Prevotella multiformis	2.0	Intertype	#cccccc
531	Prevotella multiformis	Varibaculum cambriense	2.0	Intertype	#cccccc
