	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
303	Prevotella micans	2	Subgingival_plaque	#e4cf74	4.0	0.0	#10c6e6	#8000ff
304	Prevotella salivae	5	Saliva	#7effb5	2.0	8.0	#386df9	#f2c26b
305	Leptotrichia shahii	3	Tongue_dorsum	#ff0000	2.0	8.0	#386df9	#f2c26b
306	Prevotella salivae	5	Saliva	#7effb5	2.0	8.0	#386df9	#f2c26b
307	Leptotrichia trevisanii	3	Supragingival_plaque	#ff964f	2.0	8.0	#386df9	#f2c26b
308	Prevotella salivae	5	Saliva	#7effb5	2.0	8.0	#386df9	#f2c26b
309	Leptotrichia wadei	5	Tongue_dorsum	#ff0000	2.0	8.0	#386df9	#f2c26b
310	Prevotella shahii	4	Tongue_dorsum	#ff0000	4.0	0.0	#10c6e6	#8000ff
311	Aggregatibacter segnis	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
312	Prevotella shahii	4	Tongue_dorsum	#ff0000	4.0	0.0	#10c6e6	#8000ff
313	Kingella oralis	3	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
314	Prevotella shahii	4	Tongue_dorsum	#ff0000	4.0	0.0	#10c6e6	#8000ff
315	Pasteurella multocida	3	Attached	#4e4dfc	4.0	0.0	#10c6e6	#8000ff
316	Prevotella sp. HJM029	5	Saliva	#7effb5	11.0	7.0	#ffa055	#c4e88a
317	Leptotrichia sp. oral taxon 225	2	Supragingival_plaque	#ff964f	11.0	7.0	#ffa055	#c4e88a
318	Prevotella sp. HJM029	5	Saliva	#7effb5	11.0	7.0	#ffa055	#c4e88a
319	Prevotella sp. C561	5	Tongue_dorsum	#ff0000	11.0	7.0	#ffa055	#c4e88a
320	Prevotella sp. oral taxon 299	5	Tongue_dorsum	#ff0000	12.0	11.0	#ff703a	#ff0000
321	Peptostreptococcus sp. MV1	3	Throat	#ff5029	12.0	11.0	#ff703a	#ff0000
322	Prevotella sp. oral taxon 306	5	Saliva	#7effb5	0.0	3.0	#8000ff	#0ac0e8
323	Megasphaera micronuciformis	5	Saliva	#7effb5	0.0	3.0	#8000ff	#0ac0e8
324	Prevotella sp. oral taxon 317	3	Subgingival_plaque	#e4cf74	1.0	9.0	#5c38fd	#ff8c49
325	Haemophilus influenzae	4	Buccal_mucosa	#1996f3	1.0	9.0	#5c38fd	#ff8c49
326	Prevotella sp. oral taxon 317	3	Subgingival_plaque	#e4cf74	1.0	9.0	#5c38fd	#ff8c49
327	Haemophilus parainfluenzae	5	Tongue_dorsum	#ff0000	1.0	9.0	#5c38fd	#ff8c49
328	Prevotella sp. oral taxon 317	3	Subgingival_plaque	#e4cf74	1.0	9.0	#5c38fd	#ff8c49
329	Haemophilus paraphrohaemolyticus	2	Buccal_mucosa	#1996f3	10.0	9.0	#ecc86f	#ff8c49
330	Prevotella sp. oral taxon 472	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
331	[Pasteurella] pneumotropica	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
332	Prevotella sp. oral taxon 472	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
333	Aggregatibacter actinomycetemcomitans	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
334	Prevotella sp. oral taxon 472	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
335	Aggregatibacter segnis	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
336	Prevotella sp. oral taxon 472	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
337	Kingella oralis	3	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
338	Prevotella sp. oral taxon 472	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
