	source	target	weight	edge_sample	edcolor
4080	Streptococcus oralis	Haemophilus haemolyticus	5.0	Attached	#4e4dfc
4081	Haemophilus haemolyticus	Streptococcus oralis	5.0	Attached	#4e4dfc
4082	Streptococcus oralis	Haemophilus sp. oral taxon 851	6.0	Attached	#4e4dfc
4083	Haemophilus sp. oral taxon 851	Streptococcus oralis	6.0	Attached	#4e4dfc
4084	Streptococcus parasanguinis	Atopobium parvulum	5.0	Intertype	#cccccc
4085	Atopobium parvulum	Streptococcus parasanguinis	5.0	Intertype	#cccccc
4086	Streptococcus parasanguinis	Fusobacterium periodonticum	4.0	Tongue_dorsum	#ff0000
4087	Fusobacterium periodonticum	Streptococcus parasanguinis	4.0	Tongue_dorsum	#ff0000
4088	Streptococcus parasanguinis	Prevotella veroralis	5.0	Intertype	#cccccc
4089	Prevotella veroralis	Streptococcus parasanguinis	5.0	Intertype	#cccccc
4090	Streptococcus pneumoniae	Staphylococcus pasteuri	6.0	Attached	#4e4dfc
4091	Staphylococcus pasteuri	Streptococcus pneumoniae	6.0	Attached	#4e4dfc
4092	Streptococcus pseudopneumoniae	Actinomyces sp. S6-Spd3	5.0	Intertype	#cccccc
4093	Actinomyces sp. S6-Spd3	Streptococcus pseudopneumoniae	5.0	Intertype	#cccccc
4094	Streptococcus pseudopneumoniae	Gemella haemolysans	5.0	Intertype	#cccccc
4095	Gemella haemolysans	Streptococcus pseudopneumoniae	5.0	Intertype	#cccccc
4096	Streptococcus pseudopneumoniae	Haemophilus sp. oral taxon 851	5.0	Attached	#4e4dfc
4097	Haemophilus sp. oral taxon 851	Streptococcus pseudopneumoniae	5.0	Attached	#4e4dfc
4098	Streptococcus pseudopneumoniae	Streptococcus infantis	5.0	Intertype	#cccccc
4099	Streptococcus infantis	Streptococcus pseudopneumoniae	5.0	Intertype	#cccccc
4100	Streptococcus pseudopneumoniae	Streptococcus oralis	5.0	Attached	#4e4dfc
4101	Streptococcus oralis	Streptococcus pseudopneumoniae	5.0	Attached	#4e4dfc
4102	Streptococcus pseudopneumoniae	Streptococcus pneumoniae	5.0	Attached	#4e4dfc
4103	Streptococcus pneumoniae	Streptococcus pseudopneumoniae	5.0	Attached	#4e4dfc
4104	Streptococcus pyogenes	Bacteroides coprocola	1.0	Intertype	#cccccc
4105	Bacteroides coprocola	Streptococcus pyogenes	1.0	Intertype	#cccccc
4106	Streptococcus salivarius	Atopobium parvulum	5.0	Intertype	#cccccc
4107	Atopobium parvulum	Streptococcus salivarius	5.0	Intertype	#cccccc
4108	Streptococcus salivarius	Prevotella veroralis	4.0	Intertype	#cccccc
4109	Prevotella veroralis	Streptococcus salivarius	4.0	Intertype	#cccccc
4110	Streptococcus sanguinis	Abiotrophia defectiva	5.0	Intertype	#cccccc
4111	Abiotrophia defectiva	Streptococcus sanguinis	5.0	Intertype	#cccccc
4112	Streptococcus sanguinis	Aggregatibacter aphrophilus	6.0	Intertype	#cccccc
4113	Aggregatibacter aphrophilus	Streptococcus sanguinis	6.0	Intertype	#cccccc
4114	Streptococcus sanguinis	Campylobacter concisus	4.0	Intertype	#cccccc
4115	Campylobacter concisus	Streptococcus sanguinis	4.0	Intertype	#cccccc
4116	Streptococcus sanguinis	Gemella sanguinis	5.0	Intertype	#cccccc
4117	Gemella sanguinis	Streptococcus sanguinis	5.0	Intertype	#cccccc
4118	Streptococcus sanguinis	Haemophilus sputorum	5.0	Intertype	#cccccc
4119	Haemophilus sputorum	Streptococcus sanguinis	5.0	Intertype	#cccccc
4120	Streptococcus sanguinis	Lachnoanaerobaculum saburreum	5.0	Intertype	#cccccc
4121	Lachnoanaerobaculum saburreum	Streptococcus sanguinis	5.0	Intertype	#cccccc
4122	Streptococcus sanguinis	Leptotrichia shahii	5.0	Intertype	#cccccc
4123	Leptotrichia shahii	Streptococcus sanguinis	5.0	Intertype	#cccccc
4124	Streptococcus sanguinis	Neisseria flavescens	5.0	Intertype	#cccccc
4125	Neisseria flavescens	Streptococcus sanguinis	5.0	Intertype	#cccccc
4126	Streptococcus sanguinis	Streptococcus oligofermentans	6.0	Intertype	#cccccc
4127	Streptococcus oligofermentans	Streptococcus sanguinis	6.0	Intertype	#cccccc
4128	Streptococcus sinensis	Capnocytophaga cynodegmi	1.0	Intertype	#cccccc
4129	Capnocytophaga cynodegmi	Streptococcus sinensis	1.0	Intertype	#cccccc
