	source	target	weight	edge_sample	edcolor
0	Corynebacterium pseudodiphtheriticum	Corynebacterium propinquum	3.0	Anterior_nares	#8000ff
1	Corynebacterium propinquum	Corynebacterium pseudodiphtheriticum	3.0	Anterior_nares	#8000ff
2	Lawsonella clevelandensis	Gemella haemolysans	3.0	Intertype	#cccccc
3	Gemella haemolysans	Lawsonella clevelandensis	3.0	Intertype	#cccccc
4	Parabacteroides merdae	Corynebacterium ammoniagenes	3.0	Intertype	#cccccc
5	Corynebacterium ammoniagenes	Parabacteroides merdae	3.0	Intertype	#cccccc
6	Propionibacterium avidum	Corynebacterium durum	3.0	Intertype	#cccccc
7	Corynebacterium durum	Propionibacterium avidum	3.0	Intertype	#cccccc
8	Propionibacterium granulosum	Actinomyces oris	3.0	Intertype	#cccccc
9	Actinomyces oris	Propionibacterium granulosum	3.0	Intertype	#cccccc
10	Propionibacterium granulosum	Alistipes putredinis	3.0	Intertype	#cccccc
11	Alistipes putredinis	Propionibacterium granulosum	3.0	Intertype	#cccccc
12	Propionibacterium propionicum	Lawsonella clevelandensis	3.0	Intertype	#cccccc
13	Lawsonella clevelandensis	Propionibacterium propionicum	3.0	Intertype	#cccccc
14	Propionibacterium sp. KPL1844	Actinomyces oris	3.0	Intertype	#cccccc
15	Actinomyces oris	Propionibacterium sp. KPL1844	3.0	Intertype	#cccccc
16	Propionibacterium sp. KPL1844	Propionibacterium humerusii	3.0	Anterior_nares	#8000ff
17	Propionibacterium humerusii	Propionibacterium sp. KPL1844	3.0	Anterior_nares	#8000ff
18	Rothia dentocariosa	Actinomyces oris	3.0	Supragingival_plaque	#ff964f
19	Actinomyces oris	Rothia dentocariosa	3.0	Supragingival_plaque	#ff964f
20	Ruminococcus faecis	Corynebacterium sp. KPL1818	3.0	Intertype	#cccccc
21	Corynebacterium sp. KPL1818	Ruminococcus faecis	3.0	Intertype	#cccccc
22	Streptococcus sanguinis	Lawsonella clevelandensis	3.0	Intertype	#cccccc
23	Lawsonella clevelandensis	Streptococcus sanguinis	3.0	Intertype	#cccccc
24	Streptococcus sanguinis	Propionibacterium propionicum	3.0	Supragingival_plaque	#ff964f
25	Propionibacterium propionicum	Streptococcus sanguinis	3.0	Supragingival_plaque	#ff964f
26	Veillonella parvula	Lautropia mirabilis	3.0	Intertype	#cccccc
27	Lautropia mirabilis	Veillonella parvula	3.0	Intertype	#cccccc
