	source	target	weight	edge_sample	edcolor
1290	Treponema maltophilum	Prevotella sp. oral taxon 317	3.0	Subgingival_plaque	#e4cf74
1291	Prevotella sp. oral taxon 317	Treponema maltophilum	3.0	Subgingival_plaque	#e4cf74
1292	Treponema medium	Prevotella melaninogenica	3.0	Intertype	#cccccc
1293	Prevotella melaninogenica	Treponema medium	3.0	Intertype	#cccccc
1294	Treponema pedis	Actinomyces slackii	1.0	Intertype	#cccccc
1295	Actinomyces slackii	Treponema pedis	1.0	Intertype	#cccccc
1296	Treponema pedis	Actinomyces sp. ICM47	1.0	Intertype	#cccccc
1297	Actinomyces sp. ICM47	Treponema pedis	1.0	Intertype	#cccccc
1298	Treponema pedis	Bulleidia extructa	1.0	Intertype	#cccccc
1299	Bulleidia extructa	Treponema pedis	1.0	Intertype	#cccccc
1300	Treponema pedis	Eubacterium saphenum	1.0	Intertype	#cccccc
1301	Eubacterium saphenum	Treponema pedis	1.0	Intertype	#cccccc
1302	Treponema pedis	Fusobacterium necrophorum	1.0	Intertype	#cccccc
1303	Fusobacterium necrophorum	Treponema pedis	1.0	Intertype	#cccccc
1304	Treponema pedis	Fusobacterium sp. CM21	1.0	Intertype	#cccccc
1305	Fusobacterium sp. CM21	Treponema pedis	1.0	Intertype	#cccccc
1306	Treponema pedis	Olsenella uli	1.0	Intertype	#cccccc
1307	Olsenella uli	Treponema pedis	1.0	Intertype	#cccccc
1308	Treponema pedis	Peptostreptococcaceae bacterium ACC19a	1.0	Intertype	#cccccc
1309	Peptostreptococcaceae bacterium ACC19a	Treponema pedis	1.0	Intertype	#cccccc
1310	Treponema pedis	Peptostreptococcaceae bacterium OBRC8	1.0	Intertype	#cccccc
1311	Peptostreptococcaceae bacterium OBRC8	Treponema pedis	1.0	Intertype	#cccccc
1312	Treponema pedis	Prevotella baroniae	1.0	Intertype	#cccccc
1313	Prevotella baroniae	Treponema pedis	1.0	Intertype	#cccccc
1314	Treponema pedis	Prevotella sp. C561	1.0	Intertype	#cccccc
1315	Prevotella sp. C561	Treponema pedis	1.0	Intertype	#cccccc
1316	Treponema pedis	Prevotella sp. ICM33	1.0	Intertype	#cccccc
1317	Prevotella sp. ICM33	Treponema pedis	1.0	Intertype	#cccccc
1318	Treponema pedis	Pseudoramibacter alactolyticus	1.0	Intertype	#cccccc
