	source	source_freq	source_type	target_type	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
0	Acidaminococcus	3	Stool	Stool	#b2f396	20.0	1.0	#ff4a26	#6c1fff
1	Acholeplasma	13	Stool	Stool	#b2f396	20.0	1.0	#ff4a26	#6c1fff
2	Aliterella	20	Anterior_nares	Anterior_nares	#8000ff	4.0	2.0	#2489f5	#5641fd
3	Acinetobacter	11	Anterior_nares	Anterior_nares	#8000ff	4.0	2.0	#2489f5	#5641fd
4	Anaerotruncus	1	Stool	Stool	#b2f396	14.0	0.0	#c4e88a	#8000ff
5	Acetivibrio	27	Stool	Stool	#b2f396	14.0	0.0	#c4e88a	#8000ff
6	Arthrobacter	1	Anterior_nares	Anterior_nares	#8000ff	4.0	2.0	#2489f5	#5641fd
10	Aureimonas	10	Anterior_nares	Anterior_nares	#8000ff	19.0	10.0	#ff6b37	#54f6cb
11	Arcanobacterium	11	Anterior_nares	Anterior_nares	#8000ff	19.0	10.0	#ff6b37	#54f6cb
12	Avibacterium	13	Buccal_mucosa	Buccal_mucosa	#1996f3	9.0	3.0	#50f4cc	#425ffa
13	Actinobacillus	22	Buccal_mucosa	Buccal_mucosa	#1996f3	9.0	3.0	#50f4cc	#425ffa
14	Azohydromonas	2	Anterior_nares	Anterior_nares	#8000ff	4.0	2.0	#2489f5	#5641fd
20	Basfia	3	Buccal_mucosa	Buccal_mucosa	#1996f3	9.0	3.0	#50f4cc	#425ffa
24	Bibersteinia	1	Buccal_mucosa	Buccal_mucosa	#1996f3	9.0	3.0	#50f4cc	#425ffa
28	Bradyrhizobium	2	Throat	Throat	#ff5029	5.0	6.0	#0ea5ef	#01b3ec
29	Afipia	36	Throat	Throat	#ff5029	5.0	6.0	#0ea5ef	#01b3ec
30	Brevibacterium	3	Posterior_fornix	Posterior_fornix	#4df3ce	15.0	5.0	#dbd87b	#169bf2
31	Aerococcus	24	Posterior_fornix	Posterior_fornix	#4df3ce	15.0	5.0	#dbd87b	#169bf2
32	Burkholderia	10	Posterior_fornix	Posterior_fornix	#4df3ce	15.0	5.0	#dbd87b	#169bf2
36	Calothrix	1	Anterior_nares	Anterior_nares	#8000ff	0.0	12.0	#8000ff	#7effb5
37	Brevundimonas	2	Anterior_nares	Anterior_nares	#8000ff	0.0	12.0	#8000ff	#7effb5
