source	Unnamed: 0	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
Veillonellales	34	Veillonellales	Cardiobacteriales	1.0	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	1.0	1.0	#01b3ec	#1996f3
Cardiobacteriales	35	Cardiobacteriales	Veillonellales	1.0	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	1.0	1.0	#01b3ec	#1996f3
Veillonellales	36	Veillonellales	Corynebacteriales	1.0	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	1.0	1.0	#01b3ec	#1996f3
Corynebacteriales	37	Corynebacteriales	Veillonellales	1.0	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	1.0	1.0	#01b3ec	#1996f3
Veillonellales	38	Veillonellales	Flavobacteriales	1.0	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	1.0	1.0	#01b3ec	#1996f3
Flavobacteriales	39	Flavobacteriales	Veillonellales	1.0	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	1.0	1.0	#01b3ec	#1996f3
Veillonellales	40	Veillonellales	Fusobacteriales	1.0	Tongue_dorsum	Tongue_dorsum	Tongue_dorsum	#ff0000	#ff0000	#ff0000	1.0	1.0	#01b3ec	#1996f3
Fusobacteriales	41	Fusobacteriales	Veillonellales	1.0	Tongue_dorsum	Tongue_dorsum	Tongue_dorsum	#ff0000	#ff0000	#ff0000	1.0	1.0	#01b3ec	#1996f3
Veillonellales	42	Veillonellales	Micrococcales	1.0	Tongue_dorsum	Buccal_mucosa	Intertype	#ff0000	#1996f3	#cccccc	1.0	1.0	#01b3ec	#1996f3
Micrococcales	43	Micrococcales	Veillonellales	1.0	Buccal_mucosa	Tongue_dorsum	Intertype	#1996f3	#ff0000	#cccccc	0.0	4.0	#8000ff	#ff964f
Veillonellales	44	Veillonellales	Oceanospirillales	1.0	Tongue_dorsum	Attached	Intertype	#ff0000	#4e4dfc	#cccccc	1.0	1.0	#01b3ec	#1996f3
Oceanospirillales	45	Oceanospirillales	Veillonellales	1.0	Attached	Tongue_dorsum	Intertype	#4e4dfc	#ff0000	#cccccc	1.0	1.0	#01b3ec	#1996f3
Veillonellales	46	Veillonellales	Propionibacteriales	1.0	Tongue_dorsum	Anterior_nares	Intertype	#ff0000	#8000ff	#cccccc	1.0	1.0	#01b3ec	#1996f3
Propionibacteriales	47	Propionibacteriales	Veillonellales	1.0	Anterior_nares	Tongue_dorsum	Intertype	#8000ff	#ff0000	#cccccc	0.0	4.0	#8000ff	#ff964f
Veillonellales	48	Veillonellales	Rhizobiales	1.0	Tongue_dorsum	Anterior_nares	Intertype	#ff0000	#8000ff	#cccccc	1.0	1.0	#01b3ec	#1996f3
Rhizobiales	49	Rhizobiales	Veillonellales	1.0	Anterior_nares	Tongue_dorsum	Intertype	#8000ff	#ff0000	#cccccc	1.0	1.0	#01b3ec	#1996f3
Veillonellales	50	Veillonellales	Sphingomonadales	1.0	Tongue_dorsum	Buccal_mucosa	Intertype	#ff0000	#1996f3	#cccccc	1.0	1.0	#01b3ec	#1996f3
Sphingomonadales	51	Sphingomonadales	Veillonellales	1.0	Buccal_mucosa	Tongue_dorsum	Intertype	#1996f3	#ff0000	#cccccc	1.0	1.0	#01b3ec	#1996f3
Veillonellales	52	Veillonellales	Spirochaetales	1.0	Tongue_dorsum	Subgingival_plaque	Intertype	#ff0000	#e4cf74	#cccccc	1.0	1.0	#01b3ec	#1996f3
Spirochaetales	53	Spirochaetales	Veillonellales	1.0	Subgingival_plaque	Tongue_dorsum	Intertype	#e4cf74	#ff0000	#cccccc	0.0	4.0	#8000ff	#ff964f
Xanthomonadales	54	Xanthomonadales	Enterobacteriales	1.0	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	4.0	5.0	#ff0000	#ff0000
Enterobacteriales	55	Enterobacteriales	Xanthomonadales	1.0	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	4.0	5.0	#ff0000	#ff0000
