source	Unnamed: 0	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
Campylobacteraceae	32	Campylobacteraceae	Burkholderiaceae	3.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	1.0	1.0	#1996f3	#01b3ec
Burkholderiaceae	33	Burkholderiaceae	Campylobacteraceae	3.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	1.0	1.0	#1996f3	#01b3ec
Cardiobacteriaceae	34	Cardiobacteriaceae	Actinomycetaceae	2.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	1.0	1.0	#1996f3	#01b3ec
Actinomycetaceae	35	Actinomycetaceae	Cardiobacteriaceae	2.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	1.0	1.0	#1996f3	#01b3ec
Cardiobacteriaceae	36	Cardiobacteriaceae	Aerococcaceae	1.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc	1.0	1.0	#1996f3	#01b3ec
Aerococcaceae	37	Aerococcaceae	Cardiobacteriaceae	1.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc	1.0	1.0	#1996f3	#01b3ec
Cardiobacteriaceae	38	Cardiobacteriaceae	Burkholderiaceae	4.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	1.0	1.0	#1996f3	#01b3ec
Burkholderiaceae	39	Burkholderiaceae	Cardiobacteriaceae	4.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	1.0	1.0	#1996f3	#01b3ec
Cardiobacteriaceae	40	Cardiobacteriaceae	Campylobacteraceae	3.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	1.0	1.0	#1996f3	#01b3ec
Campylobacteraceae	41	Campylobacteraceae	Cardiobacteriaceae	3.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	1.0	1.0	#1996f3	#01b3ec
Carnobacteriaceae	42	Carnobacteriaceae	Campylobacteraceae	2.0	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	0.0	2.0	#8000ff	#7effb5
Campylobacteraceae	43	Campylobacteraceae	Carnobacteriaceae	2.0	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	1.0	1.0	#1996f3	#01b3ec
Caulobacteraceae	44	Caulobacteraceae	Carnobacteriaceae	1.0	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	2.0	2.0	#4df3ce	#7effb5
Carnobacteriaceae	45	Carnobacteriaceae	Caulobacteraceae	1.0	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	0.0	2.0	#8000ff	#7effb5
Cellulomonadaceae	46	Cellulomonadaceae	Actinomycetaceae	1.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	2.0	1.0	#4df3ce	#01b3ec
Actinomycetaceae	47	Actinomycetaceae	Cellulomonadaceae	1.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	1.0	1.0	#1996f3	#01b3ec
Cellulomonadaceae	48	Cellulomonadaceae	Aerococcaceae	1.0	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	2.0	1.0	#4df3ce	#01b3ec
Aerococcaceae	49	Aerococcaceae	Cellulomonadaceae	1.0	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	1.0	1.0	#1996f3	#01b3ec
Cellulomonadaceae	50	Cellulomonadaceae	Akkermansiaceae	2.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	1.0	#4df3ce	#01b3ec
Akkermansiaceae	51	Akkermansiaceae	Cellulomonadaceae	2.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	0.0	#4df3ce	#8000ff
Cellulomonadaceae	52	Cellulomonadaceae	Atopobiaceae	2.0	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	2.0	1.0	#4df3ce	#01b3ec
Atopobiaceae	53	Atopobiaceae	Cellulomonadaceae	2.0	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	1.0	1.0	#1996f3	#01b3ec
Cellulomonadaceae	54	Cellulomonadaceae	Bacteroidaceae	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	1.0	#4df3ce	#01b3ec
Bacteroidaceae	55	Bacteroidaceae	Cellulomonadaceae	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	0.0	#4df3ce	#8000ff
Cellulomonadaceae	56	Cellulomonadaceae	Burkholderiaceae	1.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	2.0	1.0	#4df3ce	#01b3ec
Burkholderiaceae	57	Burkholderiaceae	Cellulomonadaceae	1.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	1.0	1.0	#1996f3	#01b3ec
Cellulomonadaceae	58	Cellulomonadaceae	Campylobacteraceae	2.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	2.0	1.0	#4df3ce	#01b3ec
Campylobacteraceae	59	Campylobacteraceae	Cellulomonadaceae	2.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	1.0	1.0	#1996f3	#01b3ec
Cellulomonadaceae	60	Cellulomonadaceae	Cardiobacteriaceae	1.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	2.0	1.0	#4df3ce	#01b3ec
Cardiobacteriaceae	61	Cardiobacteriaceae	Cellulomonadaceae	1.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	1.0	1.0	#1996f3	#01b3ec
Cellvibrionaceae	62	Cellvibrionaceae	Burkholderiaceae	1.0	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	2.0	1.0	#4df3ce	#01b3ec
Burkholderiaceae	63	Burkholderiaceae	Cellvibrionaceae	1.0	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	1.0	1.0	#1996f3	#01b3ec
Chlamydiaceae	64	Chlamydiaceae	Actinomycetaceae	1.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc	2.0	1.0	#4df3ce	#01b3ec
Actinomycetaceae	65	Actinomycetaceae	Chlamydiaceae	1.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc	1.0	1.0	#1996f3	#01b3ec
Chlamydiaceae	66	Chlamydiaceae	Aerococcaceae	1.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	2.0	1.0	#4df3ce	#01b3ec
Aerococcaceae	67	Aerococcaceae	Chlamydiaceae	1.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	1.0	1.0	#1996f3	#01b3ec
Chlamydiaceae	68	Chlamydiaceae	Atopobiaceae	1.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	2.0	1.0	#4df3ce	#01b3ec
Atopobiaceae	69	Atopobiaceae	Chlamydiaceae	1.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	1.0	1.0	#1996f3	#01b3ec
Chlamydiaceae	70	Chlamydiaceae	Bifidobacteriaceae	1.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	2.0	1.0	#4df3ce	#01b3ec
Bifidobacteriaceae	71	Bifidobacteriaceae	Chlamydiaceae	1.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	2.0	1.0	#4df3ce	#01b3ec
Chlamydiaceae	72	Chlamydiaceae	Campylobacteraceae	1.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc	2.0	1.0	#4df3ce	#01b3ec
Campylobacteraceae	73	Campylobacteraceae	Chlamydiaceae	1.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc	1.0	1.0	#1996f3	#01b3ec
Chromatiaceae	74	Chromatiaceae	Alcaligenaceae	1.0	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	4.0	2.0	#ff964f	#7effb5
Alcaligenaceae	75	Alcaligenaceae	Chromatiaceae	1.0	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	4.0	2.0	#ff964f	#7effb5
Chromatiaceae	76	Chromatiaceae	Bacillaceae	1.0	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	4.0	2.0	#ff964f	#7effb5
Bacillaceae	77	Bacillaceae	Chromatiaceae	1.0	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	4.0	2.0	#ff964f	#7effb5
Chromatiaceae	78	Chromatiaceae	Bradyrhizobiaceae	1.0	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	4.0	2.0	#ff964f	#7effb5
Bradyrhizobiaceae	79	Bradyrhizobiaceae	Chromatiaceae	1.0	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	4.0	2.0	#ff964f	#7effb5
Chromobacteriaceae	80	Chromobacteriaceae	Aurantimonadaceae	1.0	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	3.0	2.0	#b2f396	#7effb5
Aurantimonadaceae	81	Aurantimonadaceae	Chromobacteriaceae	1.0	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	3.0	2.0	#b2f396	#7effb5
Clostridiaceae	82	Clostridiaceae	Acidaminococcaceae	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	0.0	#4df3ce	#8000ff
Acidaminococcaceae	83	Acidaminococcaceae	Clostridiaceae	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	0.0	#4df3ce	#8000ff
Clostridiaceae	84	Clostridiaceae	Bacteroidaceae	2.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	0.0	#4df3ce	#8000ff
Bacteroidaceae	85	Bacteroidaceae	Clostridiaceae	2.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	0.0	#4df3ce	#8000ff
Clostridiaceae	86	Clostridiaceae	Catabacteriaceae	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	0.0	#4df3ce	#8000ff
Catabacteriaceae	87	Catabacteriaceae	Clostridiaceae	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	0.0	#4df3ce	#8000ff
Clostridiales Family XIII. Incertae Sedis	88	Clostridiales Family XIII. Incertae Sedis	Actinomycetaceae	6.0	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	1.0	1.0	#1996f3	#01b3ec
Actinomycetaceae	89	Actinomycetaceae	Clostridiales Family XIII. Incertae Sedis	6.0	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	1.0	1.0	#1996f3	#01b3ec
Clostridiales Family XIII. Incertae Sedis	90	Clostridiales Family XIII. Incertae Sedis	Aerococcaceae	1.0	Tongue_dorsum	Posterior_fornix	Intertype	#ff0000	#4df3ce	#cccccc	1.0	1.0	#1996f3	#01b3ec
Aerococcaceae	91	Aerococcaceae	Clostridiales Family XIII. Incertae Sedis	1.0	Posterior_fornix	Tongue_dorsum	Intertype	#4df3ce	#ff0000	#cccccc	1.0	1.0	#1996f3	#01b3ec
Clostridiales Family XIII. Incertae Sedis	92	Clostridiales Family XIII. Incertae Sedis	Atopobiaceae	4.0	Tongue_dorsum	Posterior_fornix	Intertype	#ff0000	#4df3ce	#cccccc	1.0	1.0	#1996f3	#01b3ec
Atopobiaceae	93	Atopobiaceae	Clostridiales Family XIII. Incertae Sedis	4.0	Posterior_fornix	Tongue_dorsum	Intertype	#4df3ce	#ff0000	#cccccc	1.0	1.0	#1996f3	#01b3ec
