source	Unnamed: 0	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
Cardiobacteriales	34	Cardiobacteriales	Bacillales	2.0	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	3.0	1.0	#7effb5	#01b3ec
Bacillales	35	Bacillales	Cardiobacteriales	2.0	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	3.0	0.0	#7effb5	#8000ff
Cardiobacteriales	36	Cardiobacteriales	Bacteroidales	2.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	3.0	1.0	#7effb5	#01b3ec
Bacteroidales	37	Bacteroidales	Cardiobacteriales	2.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	3.0	0.0	#7effb5	#8000ff
Cardiobacteriales	38	Cardiobacteriales	Burkholderiales	6.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	3.0	1.0	#7effb5	#01b3ec
Burkholderiales	39	Burkholderiales	Cardiobacteriales	6.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2.0	1.0	#2adddd	#01b3ec
Cardiobacteriales	40	Cardiobacteriales	Campylobacterales	3.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	3.0	1.0	#7effb5	#01b3ec
Campylobacterales	41	Campylobacterales	Cardiobacteriales	3.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	3.0	1.0	#7effb5	#01b3ec
Cellvibrionales	42	Cellvibrionales	Burkholderiales	1.0	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	2.0	1.0	#2adddd	#01b3ec
Burkholderiales	43	Burkholderiales	Cellvibrionales	1.0	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	2.0	1.0	#2adddd	#01b3ec
Chlamydiales	44	Chlamydiales	Actinomycetales	1.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc	3.0	0.0	#7effb5	#8000ff
Actinomycetales	45	Actinomycetales	Chlamydiales	1.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc	3.0	1.0	#7effb5	#01b3ec
Chlamydiales	46	Chlamydiales	Bacillales	3.0	Posterior_fornix	Buccal_mucosa	Intertype	#4df3ce	#1996f3	#cccccc	3.0	0.0	#7effb5	#8000ff
