source	Unnamed: 0	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
Clostridia	34	Clostridia	Bacteroidia	5.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	1.0	#425ffa	#ff0000
Bacteroidia	35	Bacteroidia	Clostridia	5.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	0.0	#9efaa2	#8000ff
Clostridia	36	Clostridia	Betaproteobacteria	1.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	2.0	1.0	#425ffa	#ff0000
Betaproteobacteria	37	Betaproteobacteria	Clostridia	1.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	3.0	0.0	#218cf4	#8000ff
Coriobacteriia	38	Coriobacteriia	Actinobacteria	6.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc	4.0	1.0	#01b3ec	#ff0000
Actinobacteria	39	Actinobacteria	Coriobacteriia	6.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc	11.0	0.0	#ded579	#8000ff
Coriobacteriia	40	Coriobacteriia	Alphaproteobacteria	1.0	Posterior_fornix	Anterior_nares	Intertype	#4df3ce	#8000ff	#cccccc	4.0	1.0	#01b3ec	#ff0000
Alphaproteobacteria	41	Alphaproteobacteria	Coriobacteriia	1.0	Anterior_nares	Posterior_fornix	Intertype	#8000ff	#4df3ce	#cccccc	8.0	0.0	#7effb5	#8000ff
Coriobacteriia	42	Coriobacteriia	Bacilli	4.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	4.0	1.0	#01b3ec	#ff0000
Bacilli	43	Bacilli	Coriobacteriia	4.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	2.0	1.0	#425ffa	#ff0000
Coriobacteriia	44	Coriobacteriia	Bacteroidia	2.0	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	4.0	1.0	#01b3ec	#ff0000
Bacteroidia	45	Bacteroidia	Coriobacteriia	2.0	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	9.0	0.0	#9efaa2	#8000ff
Coriobacteriia	46	Coriobacteriia	Betaproteobacteria	1.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc	4.0	1.0	#01b3ec	#ff0000
Betaproteobacteria	47	Betaproteobacteria	Coriobacteriia	1.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc	3.0	0.0	#218cf4	#8000ff
Coriobacteriia	48	Coriobacteriia	Chlamydiia	1.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	4.0	1.0	#01b3ec	#ff0000
