	source	target	weight	edge_sample	edcolor
1941	Bacteroidetes oral taxon 274	Capnocytophaga sp. CM59	3.0	Intertype	#cccccc
1942	Capnocytophaga sp. CM59	Capnocytophaga granulosa	8.0	Supragingival_plaque	#ff964f
1943	Capnocytophaga granulosa	Capnocytophaga sp. CM59	8.0	Supragingival_plaque	#ff964f
1944	Capnocytophaga sp. oral taxon 323	Actinomyces dentalis	4.0	Intertype	#cccccc
1945	Actinomyces dentalis	Capnocytophaga sp. oral taxon 323	4.0	Intertype	#cccccc
1946	Capnocytophaga sp. oral taxon 323	Actinomyces georgiae	3.0	Intertype	#cccccc
1947	Actinomyces georgiae	Capnocytophaga sp. oral taxon 323	3.0	Intertype	#cccccc
1948	Capnocytophaga sp. oral taxon 323	Actinomyces gerencseriae	4.0	Intertype	#cccccc
1949	Actinomyces gerencseriae	Capnocytophaga sp. oral taxon 323	4.0	Intertype	#cccccc
1950	Capnocytophaga sp. oral taxon 323	Actinomyces johnsonii	9.0	Intertype	#cccccc
1951	Actinomyces johnsonii	Capnocytophaga sp. oral taxon 323	9.0	Intertype	#cccccc
1952	Capnocytophaga sp. oral taxon 323	Actinomyces meyeri	4.0	Intertype	#cccccc
1953	Actinomyces meyeri	Capnocytophaga sp. oral taxon 323	4.0	Intertype	#cccccc
1954	Capnocytophaga sp. oral taxon 323	Actinomyces sp. oral taxon 175	4.0	Supragingival_plaque	#ff964f
1955	Actinomyces sp. oral taxon 175	Capnocytophaga sp. oral taxon 323	4.0	Supragingival_plaque	#ff964f
1956	Capnocytophaga sp. oral taxon 323	Actinomyces sp. oral taxon 414	5.0	Intertype	#cccccc
1957	Actinomyces sp. oral taxon 414	Capnocytophaga sp. oral taxon 323	5.0	Intertype	#cccccc
1958	Capnocytophaga sp. oral taxon 323	Actinomyces sp. oral taxon 448	2.0	Supragingival_plaque	#ff964f
1959	Actinomyces sp. oral taxon 448	Capnocytophaga sp. oral taxon 323	2.0	Supragingival_plaque	#ff964f
1960	Capnocytophaga sp. oral taxon 323	Aggregatibacter actinomycetemcomitans	8.0	Intertype	#cccccc
1961	Aggregatibacter actinomycetemcomitans	Capnocytophaga sp. oral taxon 323	8.0	Intertype	#cccccc
1962	Capnocytophaga sp. oral taxon 323	Aggregatibacter aphrophilus	4.0	Intertype	#cccccc
1963	Aggregatibacter aphrophilus	Capnocytophaga sp. oral taxon 323	4.0	Intertype	#cccccc
1964	Capnocytophaga sp. oral taxon 323	Aggregatibacter segnis	5.0	Intertype	#cccccc
1965	Aggregatibacter segnis	Capnocytophaga sp. oral taxon 323	5.0	Intertype	#cccccc
1966	Capnocytophaga sp. oral taxon 323	Anaeroglobus geminatus	4.0	Intertype	#cccccc
1967	Anaeroglobus geminatus	Capnocytophaga sp. oral taxon 323	4.0	Intertype	#cccccc
