	Holdouts
0	27
1	917
2	764
3	1039
4	316
5	236
6	1291
7	47
8	303
9	110
10	1283
11	1227
12	1405
13	60
14	1034
15	16
16	1536
17	1541
18	1606
19	168
20	623
21	323
22	1580
23	1348
24	161
25	1032
26	959
27	863
28	1576
29	828
30	387
31	633
32	1394
33	1459
34	1165
35	206
36	1352
37	194
38	174
39	202
40	1133
41	1652
42	1020
43	1404
44	200
45	1168
46	943
47	445
48	1526
49	295
50	1344
51	1159
52	1226
53	1542
54	1141
55	138
56	3
57	1414
58	1409
59	860
60	731
61	356
62	800
63	24
64	745
65	395
66	784
67	341
68	177
69	1158
70	1655
71	23
72	776
73	1476
74	1149
75	780
76	867
77	1156
78	414
79	1217
80	1350
81	1558
82	772
83	1308
84	1169
85	370
86	1069
87	580
88	101
89	1282
90	237
91	619
92	361
93	758
94	1275
95	775
96	1132
97	1098
98	1565
99	1061
100	1299
101	1649
102	1391
103	1632
104	300
105	868
106	856
107	1199
108	1205
109	383
110	1126
111	1309
112	145
113	1636
114	989
115	1471
116	1298
117	804
118	995
119	302
120	1331
121	409
122	2
123	95
124	204
125	965
126	944
127	630
128	556
129	472
130	1443
131	1612
132	1144
133	978
134	1538
135	1065
136	1219
137	1270
138	1191
139	1338
140	1625
141	134
142	878
143	1184
144	1058
145	1037
146	1238
147	309
148	814
149	1051
150	349
151	216
152	563
153	258
154	1403
155	333
156	329
157	923
158	1278
159	7
160	408
161	915
162	564
163	1304
164	311
165	363
166	916
167	1365
168	980
169	301
170	1415
171	230
172	342
173	255
174	986
175	473
176	150
177	650
178	274
179	857
180	1507
181	540
182	57
183	1100
184	82
185	937
186	362
187	1030
188	354
189	1573
190	348
191	546
192	1429
193	207
194	591
195	1582
196	1587
197	1462
198	1333
199	52
200	423
201	1351
202	1214
203	832
204	1010
205	430
206	1363
207	1657
208	1508
209	367
210	719
211	439
212	1579
213	845
214	1605
215	992
216	886
217	967
218	1586
219	920
220	372
221	1659
222	1624
223	753
224	818
225	276
226	984
227	921
228	1654
229	285
230	190
231	86
232	260
233	875
234	116
235	26
236	779
237	166
238	559
239	490
240	1063
241	1388
242	1315
243	1604
244	1516
245	1469
246	336
247	554
248	19
249	910
250	1504
251	1611
252	572
253	1364
254	1062
255	199
256	96
257	30
258	842
259	592
260	271
261	13
262	427
263	425
264	245
265	189
266	1189
267	898
268	45
269	399
270	1609
271	791
272	25
273	1416
274	1563
275	1286
276	46
277	1183
278	248
279	810
280	324
281	1400
282	1619
283	374
284	239
285	876
286	426
287	757
288	577
289	859
290	975
291	722
292	1484
293	952
294	261
295	304
296	235
297	626
298	1557
299	1229
