TAXA	Abiotrophia	Acidovorax	Acinetobacter	Actinobaculum	Alistipes	Alloscardovia	Anaerostipes	Basfia	Bergeyella	Burkholderia	Butyrivibrio	Capnocytophaga	Cardiobacterium	Centipeda	Chryseobacterium	Corynebacterium	Dialister	Eggerthella	Eubacterium	Gordonibacter	Gulbenkiania	Helcobacillus	Helicobacter	Holdemanella	Kingella	Lautropia	Leucobacter	Methylibium	Microbacterium	Moraxella	Nitrospira	Odoribacter	Olsenella	Ottowia	Paracoccus	Paraprevotella	Propionibacterium	Propionimicrobium	Psychrobacter	Riemerella	Ruminiclostridium	Sebaldella	Selenomonas	Simonsiella	Staphylococcus	Tannerella	Tepidiphilus	Varibaculum
Abiotrophia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8137668855915453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8335441270371731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidovorax	0.0	0.0	0.0	0.8391758612142997	0.0	0.0	0.0	0.0	0.8519679171021295	0.0	0.0	0.0	0.8534268063847225	0.0	0.0	0.0	0.0	0.0	0.8013379008153131	0.0	0.0	0.0	0.0	0.0	0.0	0.8097706269567583	0.0	0.0	0.0	0.8451765727923006	0.0	0.0	0.0	0.8515686039026802	0.8519679171021295	0.0	0.857916273156266	0.0	0.8519679171021295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acinetobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8818202423590874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8818202423590874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobaculum	0.0	0.8391758612142997	0.0	0.0	0.0	0.0	0.0	0.0	0.8571590297737304	0.0	0.0	0.0	0.8771335367949867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8937790394393793	0.0	0.0	0.0	0.8545450157770383	0.0	0.0	0.0	0.8587569663416137	0.8571590297737304	0.0	0.8890319970442001	0.0	0.8571590297737304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alistipes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8215232863778703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alloscardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerostipes	0.0	0.0	0.0	0.0	0.0	0.9999999999999925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Basfia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8150214278151393	0.0	0.0	0.0	0.8334003873486066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8874799096796598	0.0	0.0	0.0	0.8415215176787854	0.0	0.0	0.0	0.814701615419561	0.8150214278151393	0.0	0.8127468514239472	0.0	0.8150214278151393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bergeyella	0.0	0.8519679171021295	0.0	0.8571590297737304	0.0	0.0	0.0	0.8150214278151393	0.0	0.0	0.0	0.0	0.9870481548705288	0.9216804791961587	0.0	0.8020740914313214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9360618830934363	0.0	0.0	0.0	0.9929008502330285	0.0	0.0	0.0	0.9997593713075067	0.9999999999999863	0.0	0.9715453057526343	0.0	0.9999999999999863	0.0	0.0	0.0	0.8245855104963463	0.0	0.0	0.0	0.0	0.0
Burkholderia	0.0	0.0	0.8818202423590874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000098	0.0	0.0	0.8941059192003682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Butyrivibrio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8045174869388694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Capnocytophaga	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8739305971705008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cardiobacterium	0.8137668855915453	0.8534268063847225	0.0	0.8771335367949867	0.0	0.0	0.0	0.8334003873486066	0.9870481548705288	0.0	0.0	0.0	0.0	0.9022193498428147	0.0	0.8110545546941019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8164993638460106	0.9531353491459778	0.0	0.0	0.0	0.9831338632721782	0.0	0.0	0.0	0.9876193788536782	0.9870481548705288	0.0	0.9853157767148549	0.0	0.9870481548705288	0.0	0.0	0.0	0.8036620924216087	0.0	0.0	0.0	0.0	0.0
Centipeda	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9216804791961587	0.0	0.0	0.0	0.9022193498428147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8444217920449565	0.0	0.0	0.0	0.91328117830314	0.0	0.0	0.0	0.9209336199452204	0.9216804791961587	0.0	0.890533873571376	0.0	0.9216804791961587	0.0	0.0	0.0	0.9560246194075053	0.0	0.0	0.0	0.0	0.0
Chryseobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8231505790533128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Corynebacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8020740914313214	0.0	0.0	0.0	0.8110545546941019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8056928128235047	0.0	0.0	0.0	0.801686643258585	0.8020740914313214	0.0	0.0	0.0	0.8020740914313214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dialister	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8595213127724671	0.0	0.0	0.0	0.0	0.0	0.0
Eggerthella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8730801435325859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eubacterium	0.0	0.8013379008153131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gordonibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8730801435325859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
