	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
32	Aggregatibacter	Acinetobacter	1.0	2	1	Mixed	Anterior_nares	Intertype	#cccccc	#8000ff	#cccccc	0.0	0.0	#8000ff	#8000ff
33	Acinetobacter	Aggregatibacter	1.0	1	2	Anterior_nares	Mixed	Intertype	#8000ff	#cccccc	#cccccc	1.0	0.0	#01b3ec	#8000ff
34	Aggregatibacter	Afipia	1.0	2	1	Mixed	Throat	Intertype	#cccccc	#ff5029	#cccccc	0.0	0.0	#8000ff	#8000ff
35	Afipia	Aggregatibacter	1.0	1	2	Throat	Mixed	Intertype	#ff5029	#cccccc	#cccccc	1.0	0.0	#01b3ec	#8000ff
36	Alistipes	Abiotrophia	1.0	1	1	Stool	Buccal_mucosa	Intertype	#b2f396	#1996f3	#cccccc	1.0	0.0	#01b3ec	#8000ff
37	Abiotrophia	Alistipes	1.0	1	1	Buccal_mucosa	Stool	Intertype	#1996f3	#b2f396	#cccccc	1.0	0.0	#01b3ec	#8000ff
38	Alistipes	Acidovorax	1.0	1	1	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	1.0	0.0	#01b3ec	#8000ff
39	Acidovorax	Alistipes	1.0	1	1	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	1.0	0.0	#01b3ec	#8000ff
40	Alistipes	Acinetobacter	1.0	1	1	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	1.0	0.0	#01b3ec	#8000ff
41	Acinetobacter	Alistipes	1.0	1	1	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	1.0	0.0	#01b3ec	#8000ff
42	Alistipes	Actinobaculum	1.0	1	2	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	1.0	0.0	#01b3ec	#8000ff
43	Actinobaculum	Alistipes	1.0	2	1	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	2.0	0.0	#7effb5	#8000ff
44	Alistipes	Actinomyces	1.0	1	2	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	1.0	0.0	#01b3ec	#8000ff
45	Actinomyces	Alistipes	1.0	2	1	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	0.0	0.0	#8000ff	#8000ff
