	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
0	Afipia	Actinobaculum	1.0	1	2	Throat	Supragingival_plaque	Intertype	#ff5029	#ff964f	#cccccc	4.0	1.0	#62fbc4	#ff0000
1	Actinobaculum	Afipia	1.0	2	1	Supragingival_plaque	Throat	Intertype	#ff964f	#ff5029	#cccccc	3.0	1.0	#2adddd	#ff0000
2	Aggregatibacter	Afipia	1.0	2	1	Mixed	Throat	Intertype	#cccccc	#ff5029	#cccccc	3.0	1.0	#2adddd	#ff0000
3	Afipia	Aggregatibacter	1.0	1	2	Throat	Mixed	Intertype	#ff5029	#cccccc	#cccccc	4.0	1.0	#62fbc4	#ff0000
4	Alistipes	Abiotrophia	1.0	1	2	Stool	Buccal_mucosa	Intertype	#b2f396	#1996f3	#cccccc	7.0	0.0	#ffa558	#8000ff
5	Abiotrophia	Alistipes	1.0	2	1	Buccal_mucosa	Stool	Intertype	#1996f3	#b2f396	#cccccc	9.0	0.0	#ff0000	#8000ff
6	Alistipes	Actinomyces	1.0	1	2	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	7.0	0.0	#ffa558	#8000ff
7	Actinomyces	Alistipes	1.0	2	1	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	8.0	0.0	#ff592d	#8000ff
8	Atopobium	Actinomyces	1.0	2	2	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	8.0	0.0	#ff592d	#8000ff
9	Actinomyces	Atopobium	1.0	2	2	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	8.0	0.0	#ff592d	#8000ff
10	Atopobium	Alistipes	1.0	2	1	Saliva	Stool	Intertype	#7effb5	#b2f396	#cccccc	8.0	0.0	#ff592d	#8000ff
11	Alistipes	Atopobium	1.0	1	2	Stool	Saliva	Intertype	#b2f396	#7effb5	#cccccc	7.0	0.0	#ffa558	#8000ff
12	Bacillus	Abiotrophia	1.0	1	2	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc	7.0	0.0	#ffa558	#8000ff
13	Abiotrophia	Bacillus	1.0	2	1	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc	9.0	0.0	#ff0000	#8000ff
14	Bacillus	Actinomyces	1.0	1	2	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	7.0	0.0	#ffa558	#8000ff
15	Actinomyces	Bacillus	1.0	2	1	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	8.0	0.0	#ff592d	#8000ff
16	Bacillus	Alistipes	1.0	1	1	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	7.0	0.0	#ffa558	#8000ff
17	Alistipes	Bacillus	1.0	1	1	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	7.0	0.0	#ffa558	#8000ff
18	Bacillus	Atopobium	1.0	1	2	Anterior_nares	Saliva	Intertype	#8000ff	#7effb5	#cccccc	7.0	0.0	#ffa558	#8000ff
19	Atopobium	Bacillus	1.0	2	1	Saliva	Anterior_nares	Intertype	#7effb5	#8000ff	#cccccc	8.0	0.0	#ff592d	#8000ff
20	Bulleidia	Actinobaculum	1.0	1	2	Throat	Supragingival_plaque	Intertype	#ff5029	#ff964f	#cccccc	4.0	1.0	#62fbc4	#ff0000
21	Actinobaculum	Bulleidia	1.0	2	1	Supragingival_plaque	Throat	Intertype	#ff964f	#ff5029	#cccccc	3.0	1.0	#2adddd	#ff0000
22	Bulleidia	Afipia	1.0	1	1	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	4.0	1.0	#62fbc4	#ff0000
23	Afipia	Bulleidia	1.0	1	1	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	4.0	1.0	#62fbc4	#ff0000
24	Bulleidia	Aggregatibacter	1.0	1	2	Throat	Mixed	Intertype	#ff5029	#cccccc	#cccccc	4.0	1.0	#62fbc4	#ff0000
25	Aggregatibacter	Bulleidia	1.0	2	1	Mixed	Throat	Intertype	#cccccc	#ff5029	#cccccc	3.0	1.0	#2adddd	#ff0000
26	Campylobacter	Abiotrophia	1.0	2	2	Saliva	Buccal_mucosa	Intertype	#7effb5	#1996f3	#cccccc	7.0	0.0	#ffa558	#8000ff
27	Abiotrophia	Campylobacter	1.0	2	2	Buccal_mucosa	Saliva	Intertype	#1996f3	#7effb5	#cccccc	9.0	0.0	#ff0000	#8000ff
28	Campylobacter	Actinomyces	1.0	2	2	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	7.0	0.0	#ffa558	#8000ff
29	Actinomyces	Campylobacter	1.0	2	2	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	8.0	0.0	#ff592d	#8000ff
30	Campylobacter	Alistipes	1.0	2	1	Saliva	Stool	Intertype	#7effb5	#b2f396	#cccccc	7.0	0.0	#ffa558	#8000ff
31	Alistipes	Campylobacter	1.0	1	2	Stool	Saliva	Intertype	#b2f396	#7effb5	#cccccc	7.0	0.0	#ffa558	#8000ff
32	Campylobacter	Atopobium	1.0	2	2	Saliva	Saliva	Saliva	#7effb5	#7effb5	#7effb5	7.0	0.0	#ffa558	#8000ff
