TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Parvimonas micra	Subgingival_plaque	#ffac5c	12	8.0	2.0	#f2c26b	#10c6e6	Mixed	#cccccc
Parvimonas sp. oral taxon 110	Subgingival_plaque	#ffac5c	3	7.0	0.0	#c4e88a	#8000ff	Mixed	#cccccc
Parvimonas sp. oral taxon 393	Palatine_Tonsils	#70febc	2	7.0	0.0	#c4e88a	#8000ff	Mixed	#cccccc
Pasteurella multocida	Keratinized_gingiva	#17cbe4	5	4.0	0.0	#38e7d7	#8000ff	Mixed	#cccccc
[Pasteurella] pneumotropica	Buccal_mucosa	#445cfb	6	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Pectobacterium carotovorum	Anterior_nares	#8000ff	1	11.0	3.0	#ff0000	#5af8c8	Mixed	#cccccc
Peptoniphilus lacrimalis	Hard_palate	#08acee	12	3.0	2.0	#0ac0e8	#10c6e6	Mixed	#cccccc
Peptostreptococcaceae bacterium ACC19a	Throat	#ff5c2f	2	1.0	1.0	#5247fc	#386df9	Mixed	#cccccc
Peptostreptococcaceae bacterium AS15	Subgingival_plaque	#ffac5c	4	8.0	0.0	#f2c26b	#8000ff	Mixed	#cccccc
Peptostreptococcaceae bacterium oral taxon 113	Palatine_Tonsils	#70febc	4	3.0	2.0	#0ac0e8	#10c6e6	Mixed	#cccccc
Peptostreptococcus anaerobius	Saliva	#cbe486	5	10.0	4.0	#ff4a26	#a2f9a0	Mixed	#cccccc
Peptostreptococcus sp. MV1	Throat	#ff5c2f	10	10.0	4.0	#ff4a26	#a2f9a0	Mixed	#cccccc
Peptostreptococcus stomatis	Throat	#ff5c2f	12	10.0	4.0	#ff4a26	#a2f9a0	Mixed	#cccccc
Porphyrobacter donghaensis	Saliva	#cbe486	5	8.0	0.0	#f2c26b	#8000ff	Mixed	#cccccc
Porphyromonadaceae bacterium COT-184 OH4590	Subgingival_plaque	#ffac5c	2	3.0	2.0	#0ac0e8	#10c6e6	Mixed	#cccccc
Porphyromonas catoniae	Subgingival_plaque	#ffac5c	12	7.0	0.0	#c4e88a	#8000ff	Mixed	#cccccc
Porphyromonas crevioricanis	R_Retroauricular_crease	#acf59a	3	7.0	0.0	#c4e88a	#8000ff	Mixed	#cccccc
Porphyromonas endodontalis	Saliva	#cbe486	12	7.0	0.0	#c4e88a	#8000ff	Mixed	#cccccc
Porphyromonas gingivalis	Keratinized_gingiva	#17cbe4	11	7.0	0.0	#c4e88a	#8000ff	Mixed	#cccccc
Porphyromonas gulae	R_Retroauricular_crease	#acf59a	5	8.0	0.0	#f2c26b	#8000ff	Mixed	#cccccc
Porphyromonas somerae	Palatine_Tonsils	#70febc	12	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Porphyromonas sp. KLE 1280	Hard_palate	#08acee	12	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Porphyromonas sp. oral taxon 278	Saliva	#cbe486	12	3.0	2.0	#0ac0e8	#10c6e6	Mixed	#cccccc
Porphyromonas sp. oral taxon 279	Hard_palate	#08acee	12	8.0	0.0	#f2c26b	#8000ff	Mixed	#cccccc
Porphyromonas uenonis	Posterior_fornix	#8efeac	3	0.0	1.0	#8000ff	#386df9	Mixed	#cccccc
Prevotella amnii	L_Retroauricular_crease	#34e4d9	12	3.0	2.0	#0ac0e8	#10c6e6	Mixed	#cccccc
Prevotella aurantiaca	Tongue_dorsum	#ff2f18	12	10.0	4.0	#ff4a26	#a2f9a0	Mixed	#cccccc
Prevotella baroniae	Palatine_Tonsils	#70febc	11	1.0	1.0	#5247fc	#386df9	Mixed	#cccccc
