TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Veillonella sp. AS16	Tongue_dorsum	#ff2f18	10	4.0	1.0	#a2f9a0	#386df9	Mixed	#cccccc
Veillonella sp. HPA0037	Tongue_dorsum	#ff2f18	11	4.0	1.0	#a2f9a0	#386df9	Mixed	#cccccc
Veillonella sp. ICM51a	Saliva	#cbe486	12	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Veillonella sp. oral taxon 158	Palatine_Tonsils	#70febc	12	3.0	1.0	#5af8c8	#386df9	Mixed	#cccccc
Veillonella sp. oral taxon 780	Keratinized_gingiva	#17cbe4	12	3.0	1.0	#5af8c8	#386df9	Mixed	#cccccc
Veillonella tobetsuensis	Tongue_dorsum	#ff2f18	12	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Xylanimonas cellulosilytica	Throat	#ff5c2f	12	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Actinobacillus minor	Buccal_mucosa_NA	#2686f5	2	3.0	1.0	#5af8c8	#386df9	Mixed	#cccccc
Actinomyces graevenitzii	Tongue_dorsum	#ff2f18	12	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Actinomyces massiliensis	Supragingival_plaque	#ff8646	5	6.0	3.0	#ff703a	#5af8c8	Mixed	#cccccc
Aggregatibacter actinomycetemcomitans	Buccal_mucosa	#445cfb	3	3.0	1.0	#5af8c8	#386df9	Mixed	#cccccc
Actinomyces sp. ICM39	Tongue_dorsum	#ff2f18	12	3.0	1.0	#5af8c8	#386df9	Mixed	#cccccc
Abiotrophia defectiva	Buccal_mucosa	#445cfb	12	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Actinomyces sp. S6-Spd3	Tongue_dorsum	#ff2f18	12	4.0	1.0	#a2f9a0	#386df9	Mixed	#cccccc
Capnocytophaga sp. oral taxon 326	Subgingival_plaque	#ffac5c	10	4.0	1.0	#a2f9a0	#386df9	Mixed	#cccccc
Capnocytophaga sp. oral taxon 332	Supragingival_plaque	#ff8646	6	5.0	1.0	#ecc86f	#386df9	Mixed	#cccccc
Actinomyces dentalis	Subgingival_plaque	#ffac5c	3	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Campylobacter rectus	Subgingival_plaque	#ffac5c	12	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Anaeroglobus geminatus	Subgingival_plaque	#ffac5c	8	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Actinomyces sp. oral taxon 180	Tongue_dorsum	#ff2f18	4	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Haemophilus haemolyticus	Keratinized_gingiva	#17cbe4	12	3.0	1.0	#5af8c8	#386df9	Mixed	#cccccc
Leptotrichia sp. oral taxon 879	Subgingival_plaque	#ffac5c	6	1.0	4.0	#386df9	#a2f9a0	Mixed	#cccccc
Gardnerella vaginalis	Vaginal_introitus	#ff0000	1	7.0	7.0	#ff0000	#ff0000	Mixed	#cccccc
Chlamydia trachomatis	Keratinized_gingiva	#17cbe4	1	7.0	5.0	#ff0000	#ecc86f	Mixed	#cccccc
Prevotella brevis	Keratinized_gingiva	#17cbe4	4	4.0	1.0	#a2f9a0	#386df9	Mixed	#cccccc
Prevotella conceptionensis	Subgingival_plaque	#ffac5c	9	6.0	4.0	#ff703a	#a2f9a0	Mixed	#cccccc
Actinomyces meyeri	Subgingival_plaque	#ffac5c	9	6.0	1.0	#ff703a	#386df9	Mixed	#cccccc
Prevotella veroralis	Saliva	#cbe486	12	2.0	2.0	#10c6e6	#10c6e6	Mixed	#cccccc
Prevotella marshii	Subgingival_plaque	#ffac5c	9	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Actinomyces oris	Supragingival_plaque	#ff8646	4	1.0	4.0	#386df9	#a2f9a0	Mixed	#cccccc
Clostridium sp. M62/1	Stool	#e8cb72	1	7.0	6.0	#ff0000	#ff703a	Mixed	#cccccc
