TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Actinomyces johnsonii	Subgingival_plaque	#ffac5c	2	36.0	2.0	#ff3e1f	#642cfe	Mixed	#cccccc
Actinomyces naeslundii	Supragingival_plaque	#ff8646	7	26.0	4.0	#d4dd80	#4659fb	Mixed	#cccccc
Actinomyces sp. ICM39	Tongue_dorsum	#ff2f18	14	35.0	7.0	#ff532a	#1996f3	Mixed	#cccccc
Actinomyces sp. oral taxon 171	Supragingival_plaque	#ff8646	6	26.0	4.0	#d4dd80	#4659fb	Mixed	#cccccc
Actinomyces sp. oral taxon 175	Supragingival_plaque	#ff8646	2	36.0	2.0	#ff3e1f	#642cfe	Mixed	#cccccc
Actinomyces sp. oral taxon 181	Tongue_dorsum	#ff2f18	11	9.0	8.0	#0ca7ef	#0ca7ef	Mixed	#cccccc
Actinomyces sp. oral taxon 414	Subgingival_plaque	#ffac5c	4	20.0	4.0	#84ffb2	#4659fb	Mixed	#cccccc
Actinomyces sp. oral taxon 448	Supragingival_plaque	#ff8646	2	36.0	2.0	#ff3e1f	#642cfe	Mixed	#cccccc
Actinomyces sp. oral taxon 849	Supragingival_plaque	#ff8646	1	28.0	1.0	#eec66d	#7216ff	Mixed	#cccccc
Actinomyces sp. ph3	Tongue_dorsum	#ff2f18	11	9.0	8.0	#0ca7ef	#0ca7ef	Mixed	#cccccc
Afipia birgiae	Throat	#ff5c2f	2	36.0	2.0	#ff3e1f	#642cfe	Mixed	#cccccc
Afipia broomeae	Anterior_nares	#8000ff	1	28.0	1.0	#eec66d	#7216ff	Mixed	#cccccc
Alistipes putredinis	Stool	#e8cb72	2	36.0	2.0	#ff3e1f	#642cfe	Mixed	#cccccc
Bacillus thermoamylovorans	Anterior_nares	#8000ff	2	36.0	2.0	#ff3e1f	#642cfe	Mixed	#cccccc
Bradyrhizobium sp. CCH5-F6	R_Retroauricular_crease	#acf59a	1	22.0	11.0	#9efaa2	#20d5e1	Mixed	#cccccc
Bulleidia extructa	Throat	#ff5c2f	6	8.0	19.0	#1898f2	#94fda8	Mixed	#cccccc
Campylobacter fetus	Keratinized_gingiva	#17cbe4	2	13.0	17.0	#2adddd	#76ffb9	Mixed	#cccccc
Campylobacter mucosalis	Attached	#622ffe	2	13.0	17.0	#2adddd	#76ffb9	Mixed	#cccccc
Campylobacter ureolyticus	R_Retroauricular_crease	#acf59a	1	22.0	11.0	#9efaa2	#20d5e1	Mixed	#cccccc
Candidatus Alistipes marseilloanorexicus	Stool	#e8cb72	1	37.0	18.0	#ff2c16	#86ffb0	Mixed	#cccccc
Capnocytophaga gingivalis	Supragingival_plaque	#ff8646	15	39.0	13.0	#ff0000	#3dead5	Mixed	#cccccc
Capnocytophaga granulosa	Supragingival_plaque	#ff8646	7	31.0	3.0	#ff9b52	#5641fd	Mixed	#cccccc
Capnocytophaga ochracea	Supragingival_plaque	#ff8646	7	31.0	3.0	#ff9b52	#5641fd	Mixed	#cccccc
Capnocytophaga sp. oral taxon 324	Subgingival_plaque	#ffac5c	5	21.0	24.0	#92fda9	#dcd67a	Mixed	#cccccc
Capnocytophaga sp. oral taxon 332	Supragingival_plaque	#ff8646	11	24.0	23.0	#b9ef92	#cee184	Mixed	#cccccc
Capnocytophaga sp. oral taxon 335	Supragingival_plaque	#ff8646	2	11.0	22.0	#0fc4e7	#c0eb8d	Mixed	#cccccc
Capnocytophaga sp. oral taxon 336	Subgingival_plaque	#ffac5c	4	21.0	24.0	#92fda9	#dcd67a	Mixed	#cccccc
Capnocytophaga sp. oral taxon 380	Supragingival_plaque	#ff8646	7	31.0	3.0	#ff9b52	#5641fd	Mixed	#cccccc
Capnocytophaga sp. oral taxon 412	Supragingival_plaque	#ff8646	2	11.0	22.0	#0fc4e7	#c0eb8d	Mixed	#cccccc
Capnocytophaga sp. oral taxon 863	Supragingival_plaque	#ff8646	12	24.0	23.0	#b9ef92	#cee184	Mixed	#cccccc
Cardiobacterium hominis	Subgingival_plaque	#ffac5c	3	20.0	4.0	#84ffb2	#4659fb	Mixed	#cccccc
Cardiobacterium valvarum	Subgingival_plaque	#ffac5c	5	20.0	4.0	#84ffb2	#4659fb	Mixed	#cccccc
Carnobacterium divergens	Saliva	#cbe486	1	37.0	18.0	#ff2c16	#86ffb0	Mixed	#cccccc
Conchiformibius kuhniae	Throat	#ff5c2f	2	36.0	2.0	#ff3e1f	#642cfe	Mixed	#cccccc
Conchiformibius steedae	R_Retroauricular_crease	#acf59a	1	28.0	1.0	#eec66d	#7216ff	Mixed	#cccccc
Corynebacterium accolens	Anterior_nares	#8000ff	4	15.0	15.0	#44eed2	#5af8c8	Mixed	#cccccc
Corynebacterium durum	Supragingival_plaque	#ff8646	11	29.0	3.0	#fbb965	#5641fd	Mixed	#cccccc
Corynebacterium pseudodiphtheriticum	Anterior_nares	#8000ff	1	37.0	18.0	#ff2c16	#86ffb0	Mixed	#cccccc
Corynebacterium sp. KPL1818	Anterior_nares	#8000ff	3	15.0	15.0	#44eed2	#5af8c8	Mixed	#cccccc
Corynebacterium sp. KPL1824	Anterior_nares	#8000ff	2	36.0	2.0	#ff3e1f	#642cfe	Mixed	#cccccc
Corynebacterium vitaeruminis	Throat	#ff5c2f	4	23.0	10.0	#acf59a	#10c6e6	Mixed	#cccccc
Dialister micraerophilus	Saliva	#cbe486	4	23.0	10.0	#acf59a	#10c6e6	Mixed	#cccccc
Dolosigranulum pigrum	Anterior_nares	#8000ff	2	1.0	19.0	#7413ff	#94fda8	Mixed	#cccccc
Eggerthia catenaformis	Subgingival_plaque	#ffac5c	8	31.0	3.0	#ff9b52	#5641fd	Mixed	#cccccc
Enterococcus pallens	Throat	#ff5c2f	3	20.0	4.0	#84ffb2	#4659fb	Mixed	#cccccc
[Eubacterium] nodatum	Subgingival_plaque	#ffac5c	4	23.0	10.0	#acf59a	#10c6e6	Mixed	#cccccc
[Eubacterium] rectale	Stool	#e8cb72	3	15.0	15.0	#44eed2	#5af8c8	Mixed	#cccccc
Eubacterium xylanophilum	Throat	#ff5c2f	1	28.0	1.0	#eec66d	#7216ff	Mixed	#cccccc
Faecalibacterium prausnitzii	Stool	#e8cb72	3	15.0	15.0	#44eed2	#5af8c8	Mixed	#cccccc
Flavobacterium saliperosum	Throat	#ff5c2f	1	28.0	1.0	#eec66d	#7216ff	Mixed	#cccccc
Fusobacterium equinum	Attached	#622ffe	2	13.0	17.0	#2adddd	#76ffb9	Mixed	#cccccc
Fusobacterium hwasookii	Supragingival_plaque	#ff8646	14	35.0	7.0	#ff532a	#1996f3	Mixed	#cccccc
Fusobacterium sp. CM1	Palatine_Tonsils	#70febc	4	23.0	10.0	#acf59a	#10c6e6	Mixed	#cccccc
Fusobacterium sp. CM21	Palatine_Tonsils	#70febc	3	15.0	15.0	#44eed2	#5af8c8	Mixed	#cccccc
Fusobacterium sp. OBRC1	Throat	#ff5c2f	13	17.0	0.0	#5efac6	#8000ff	Mixed	#cccccc
Granulicatella adiacens	Attached	#622ffe	13	17.0	0.0	#5efac6	#8000ff	Mixed	#cccccc
Granulicatella elegans	Keratinized_gingiva	#17cbe4	13	17.0	0.0	#5efac6	#8000ff	Mixed	#cccccc
Haemophilus haemolyticus	Keratinized_gingiva	#17cbe4	13	39.0	13.0	#ff0000	#3dead5	Mixed	#cccccc
Haemophilus influenzae	Attached	#622ffe	15	39.0	13.0	#ff0000	#3dead5	Mixed	#cccccc
Haemophilus parahaemolyticus	Buccal_mucosa_NA	#2686f5	11	29.0	3.0	#fbb965	#5641fd	Mixed	#cccccc
Haemophilus paraphrohaemolyticus	Buccal_mucosa	#445cfb	4	15.0	15.0	#44eed2	#5af8c8	Mixed	#cccccc
Haemophilus sputorum	Saliva	#cbe486	11	24.0	23.0	#b9ef92	#cee184	Mixed	#cccccc
Isoptericola variabilis	Tongue_dorsum	#ff2f18	13	17.0	0.0	#5efac6	#8000ff	Mixed	#cccccc
Janibacter hoylei	Anterior_nares	#8000ff	2	36.0	2.0	#ff3e1f	#642cfe	Mixed	#cccccc
Johnsonella ignava	Subgingival_plaque	#ffac5c	6	26.0	4.0	#d4dd80	#4659fb	Mixed	#cccccc
Kingella denitrificans	Supragingival_plaque	#ff8646	4	15.0	15.0	#44eed2	#5af8c8	Mixed	#cccccc
Kingella sp. Sch538	Keratinized_gingiva	#17cbe4	1	22.0	11.0	#9efaa2	#20d5e1	Mixed	#cccccc
Kytococcus sedentarius	Throat	#ff5c2f	12	9.0	8.0	#0ca7ef	#0ca7ef	Mixed	#cccccc
Lachnoanaerobaculum sp. ICM7	Tongue_dorsum	#ff2f18	14	33.0	25.0	#ff793e	#ecc86f	Mixed	#cccccc
Lachnoanaerobaculum sp. MSX33	Tongue_dorsum	#ff2f18	13	17.0	0.0	#5efac6	#8000ff	Mixed	#cccccc
Lachnoanaerobaculum sp. OBRC5-5	Tongue_dorsum	#ff2f18	13	17.0	0.0	#5efac6	#8000ff	Mixed	#cccccc
Lachnospiraceae bacterium MC2017	Throat	#ff5c2f	2	13.0	17.0	#2adddd	#76ffb9	Mixed	#cccccc
Lachnospiraceae bacterium oral taxon 500	Supragingival_plaque	#ff8646	13	17.0	0.0	#5efac6	#8000ff	Mixed	#cccccc
Lactobacillus salivarius	Posterior_fornix	#8efeac	2	25.0	5.0	#c6e789	#386df9	Mixed	#cccccc
Lactococcus lactis	Anterior_nares	#8000ff	2	36.0	2.0	#ff3e1f	#642cfe	Mixed	#cccccc
Lautropia mirabilis	Supragingival_plaque	#ff8646	12	10.0	3.0	#02b7eb	#5641fd	Mixed	#cccccc
