TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Propionibacterium humerusii	R_Retroauricular_crease	#acf59a	4	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Propionibacterium propionicum	Subgingival_plaque	#ffac5c	1	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Pseudomonas aeruginosa	Anterior_nares	#8000ff	2	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Pseudomonas extremaustralis	Vaginal_introitus	#ff0000	1	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Pseudomonas fluorescens	Vaginal_introitus	#ff0000	4	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Pseudomonas frederiksbergensis	Vaginal_introitus	#ff0000	2	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Pseudomonas libanensis	Vaginal_introitus	#ff0000	1	2.0	0.0	#7effb5	#8000ff	Mixed	#cccccc
Pseudomonas mandelii	Vaginal_introitus	#ff0000	2	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Pseudomonas orientalis	Vaginal_introitus	#ff0000	2	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Pseudomonas putida	Anterior_nares	#8000ff	1	2.0	0.0	#7effb5	#8000ff	Mixed	#cccccc
Pseudomonas sp. Ag1	Vaginal_introitus	#ff0000	2	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Pseudomonas sp. DSM 28142	Vaginal_introitus	#ff0000	2	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Pseudomonas sp. DSM 29164	Vaginal_introitus	#ff0000	1	2.0	0.0	#7effb5	#8000ff	Mixed	#cccccc
Pseudomonas sp. DSM 29167	Mid_vagina	#52f5cb	2	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Pseudomonas sp. ES3-33	Vaginal_introitus	#ff0000	1	2.0	0.0	#7effb5	#8000ff	Mixed	#cccccc
Pseudomonas sp. Eur1 9.41	Vaginal_introitus	#ff0000	4	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Pseudomonas sp. FH1	Vaginal_introitus	#ff0000	2	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Pseudomonas sp. NBRC 111132	Vaginal_introitus	#ff0000	4	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Pseudomonas sp. NBRC 111134	Vaginal_introitus	#ff0000	2	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Pseudomonas sp. Root9	Vaginal_introitus	#ff0000	2	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Pseudomonas synxantha	Vaginal_introitus	#ff0000	2	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Pseudomonas tolaasii	Vaginal_introitus	#ff0000	1	4.0	1.0	#ff0000	#01b3ec	Mixed	#cccccc
Roseburia intestinalis	Stool	#e8cb72	1	2.0	0.0	#7effb5	#8000ff	Mixed	#cccccc
Roseburia inulinivorans	Stool	#e8cb72	2	0.0	2.0	#8000ff	#7effb5	Mixed	#cccccc
