	source	target	weight	edge_sample	edcolor
0	Cardiobacterium	Bacteroides	2.0	Intertype	#cccccc
1	Bacteroides	Cardiobacterium	2.0	Intertype	#cccccc
2	Centipeda	Bifidobacterium	2.0	Intertype	#cccccc
3	Bifidobacterium	Centipeda	2.0	Intertype	#cccccc
4	Gardnerella	Faecalibacterium	2.0	Intertype	#cccccc
5	Faecalibacterium	Gardnerella	2.0	Intertype	#cccccc
6	Kytococcus	Atopobium	5.0	Intertype	#cccccc
7	Atopobium	Kytococcus	5.0	Intertype	#cccccc
8	Megasphaera	Clostridium	2.0	Intertype	#cccccc
9	Clostridium	Megasphaera	2.0	Intertype	#cccccc
10	Pasteurella	Actinobacillus	2.0	Buccal_mucosa	#1996f3
11	Actinobacillus	Pasteurella	2.0	Buccal_mucosa	#1996f3
12	Peptostreptococcus	Lachnoanaerobaculum	4.0	Intertype	#cccccc
13	Lachnoanaerobaculum	Peptostreptococcus	4.0	Intertype	#cccccc
14	Propionibacterium	Abiotrophia	3.0	Intertype	#cccccc
15	Abiotrophia	Propionibacterium	3.0	Intertype	#cccccc
16	Rothia	Peptoniphilus	5.0	Intertype	#cccccc
17	Peptoniphilus	Rothia	5.0	Intertype	#cccccc
18	Sanguibacter	Atopobium	4.0	Saliva	#7effb5
19	Atopobium	Sanguibacter	4.0	Saliva	#7effb5
20	Sanguibacter	Kytococcus	4.0	Intertype	#cccccc
21	Kytococcus	Sanguibacter	4.0	Intertype	#cccccc
22	Solobacterium	Leptotrichia	4.0	Intertype	#cccccc
23	Leptotrichia	Solobacterium	4.0	Intertype	#cccccc
24	Streptococcus	Carnobacterium	4.0	Intertype	#cccccc
25	Carnobacterium	Streptococcus	4.0	Intertype	#cccccc
26	Treponema	Carnobacterium	4.0	Intertype	#cccccc
27	Carnobacterium	Treponema	4.0	Intertype	#cccccc
28	Treponema	Granulicatella	4.0	Intertype	#cccccc
29	Granulicatella	Treponema	4.0	Intertype	#cccccc
30	Treponema	Streptococcus	4.0	Intertype	#cccccc
31	Streptococcus	Treponema	4.0	Intertype	#cccccc
32	Trueperella	Atopobium	4.0	Saliva	#7effb5
33	Atopobium	Trueperella	4.0	Saliva	#7effb5
34	Trueperella	Kytococcus	4.0	Intertype	#cccccc
35	Kytococcus	Trueperella	4.0	Intertype	#cccccc
36	Trueperella	Sanguibacter	4.0	Saliva	#7effb5
37	Sanguibacter	Trueperella	4.0	Saliva	#7effb5
38	Varibaculum	Filifactor	2.0	Intertype	#cccccc
39	Filifactor	Varibaculum	2.0	Intertype	#cccccc
