	source	target	weight	edge_sample	edcolor
0	Atopobium	Actinobaculum	4.0	Intertype	#cccccc
1	Actinobaculum	Atopobium	4.0	Intertype	#cccccc
2	Campylobacter	Bergeyella	3.0	Intertype	#cccccc
3	Bergeyella	Campylobacter	3.0	Intertype	#cccccc
4	Capnocytophaga	Bergeyella	3.0	Supragingival_plaque	#ff964f
5	Bergeyella	Capnocytophaga	3.0	Supragingival_plaque	#ff964f
6	Chryseobacterium	Campylobacter	4.0	Intertype	#cccccc
7	Campylobacter	Chryseobacterium	4.0	Intertype	#cccccc
8	Eubacterium	Dialister	3.0	Intertype	#cccccc
9	Dialister	Eubacterium	3.0	Intertype	#cccccc
10	Filifactor	Bacteroides	2.0	Intertype	#cccccc
11	Bacteroides	Filifactor	2.0	Intertype	#cccccc
12	Fusobacterium	Catonella	4.0	Intertype	#cccccc
13	Catonella	Fusobacterium	4.0	Intertype	#cccccc
14	Gemella	Eubacterium	4.0	Intertype	#cccccc
15	Eubacterium	Gemella	4.0	Intertype	#cccccc
16	Haemophilus	Gemella	4.0	Buccal_mucosa	#1996f3
17	Gemella	Haemophilus	4.0	Buccal_mucosa	#1996f3
18	Johnsonella	Catonella	3.0	Subgingival_plaque	#e4cf74
19	Catonella	Johnsonella	3.0	Subgingival_plaque	#e4cf74
20	Johnsonella	Fusobacterium	3.0	Intertype	#cccccc
21	Fusobacterium	Johnsonella	3.0	Intertype	#cccccc
22	Johnsonella	Gemella	3.0	Intertype	#cccccc
23	Gemella	Johnsonella	3.0	Intertype	#cccccc
24	Johnsonella	Haemophilus	4.0	Intertype	#cccccc
25	Haemophilus	Johnsonella	4.0	Intertype	#cccccc
26	Lachnoanaerobaculum	Centipeda	3.0	Intertype	#cccccc
27	Centipeda	Lachnoanaerobaculum	3.0	Intertype	#cccccc
28	Lautropia	Abiotrophia	5.0	Intertype	#cccccc
29	Abiotrophia	Lautropia	5.0	Intertype	#cccccc
30	Mycoplasma	Filifactor	2.0	Intertype	#cccccc
31	Filifactor	Mycoplasma	2.0	Intertype	#cccccc
32	Olsenella	Bacteroides	3.0	Intertype	#cccccc
33	Bacteroides	Olsenella	3.0	Intertype	#cccccc
34	Olsenella	Filifactor	2.0	Intertype	#cccccc
35	Filifactor	Olsenella	2.0	Intertype	#cccccc
36	Oribacterium	Centipeda	3.0	Intertype	#cccccc
37	Centipeda	Oribacterium	3.0	Intertype	#cccccc
38	Parvimonas	Centipeda	3.0	Intertype	#cccccc
39	Centipeda	Parvimonas	3.0	Intertype	#cccccc
40	Parvimonas	Lachnoanaerobaculum	5.0	Intertype	#cccccc
41	Lachnoanaerobaculum	Parvimonas	5.0	Intertype	#cccccc
42	Parvimonas	Oribacterium	4.0	Intertype	#cccccc
43	Oribacterium	Parvimonas	4.0	Intertype	#cccccc
44	Peptostreptococcus	Lachnoanaerobaculum	3.0	Intertype	#cccccc
45	Lachnoanaerobaculum	Peptostreptococcus	3.0	Intertype	#cccccc
46	Peptostreptococcus	Oribacterium	3.0	Intertype	#cccccc
47	Oribacterium	Peptostreptococcus	3.0	Intertype	#cccccc
48	Peptostreptococcus	Parvimonas	3.0	Throat	#ff5029
49	Parvimonas	Peptostreptococcus	3.0	Throat	#ff5029
50	Porphyrobacter	Chryseobacterium	4.0	Intertype	#cccccc
51	Chryseobacterium	Porphyrobacter	4.0	Intertype	#cccccc
52	Prevotella	Anaeroglobus	3.0	Intertype	#cccccc
53	Anaeroglobus	Prevotella	3.0	Intertype	#cccccc
54	Prevotella	Atopobium	4.0	Intertype	#cccccc
55	Atopobium	Prevotella	4.0	Intertype	#cccccc
56	Prevotella	Centipeda	3.0	Intertype	#cccccc
57	Centipeda	Prevotella	3.0	Intertype	#cccccc
58	Prevotella	Lachnoanaerobaculum	4.0	Intertype	#cccccc
59	Lachnoanaerobaculum	Prevotella	4.0	Intertype	#cccccc
60	Rothia	Kingella	6.0	Intertype	#cccccc
61	Kingella	Rothia	6.0	Intertype	#cccccc
62	Selenomonas	Catonella	4.0	Intertype	#cccccc
63	Catonella	Selenomonas	4.0	Intertype	#cccccc
64	Selenomonas	Johnsonella	3.0	Intertype	#cccccc
65	Johnsonella	Selenomonas	3.0	Intertype	#cccccc
66	Staphylococcus	Aggregatibacter	3.0	Intertype	#cccccc
67	Aggregatibacter	Staphylococcus	3.0	Intertype	#cccccc
68	Staphylococcus	Granulicatella	3.0	Attached	#4e4dfc
69	Granulicatella	Staphylococcus	3.0	Attached	#4e4dfc
70	Staphylococcus	Johnsonella	3.0	Intertype	#cccccc
71	Johnsonella	Staphylococcus	3.0	Intertype	#cccccc
72	Stomatobaculum	Filifactor	2.0	Intertype	#cccccc
73	Filifactor	Stomatobaculum	2.0	Intertype	#cccccc
74	Streptococcus	Granulicatella	5.0	Attached	#4e4dfc
75	Granulicatella	Streptococcus	5.0	Attached	#4e4dfc
76	Streptococcus	Staphylococcus	3.0	Attached	#4e4dfc
77	Staphylococcus	Streptococcus	3.0	Attached	#4e4dfc
78	Treponema	Catonella	4.0	Subgingival_plaque	#e4cf74
79	Catonella	Treponema	4.0	Subgingival_plaque	#e4cf74
80	Treponema	Selenomonas	4.0	Intertype	#cccccc
81	Selenomonas	Treponema	4.0	Intertype	#cccccc
82	Veillonella	Paraprevotella	6.0	Intertype	#cccccc
83	Paraprevotella	Veillonella	6.0	Intertype	#cccccc
