	Holdouts
0	1498
1	180
2	777
3	142
4	835
5	931
6	737
7	84
8	1073
9	356
10	1038
11	1150
12	263
13	580
14	444
15	695
16	1095
17	369
18	847
19	555
20	1628
21	771
22	1209
23	884
24	1288
25	604
26	1048
27	609
28	1450
29	365
30	138
31	1254
32	1629
33	661
34	1636
35	808
36	1073
37	19
38	708
39	1523
40	1552
41	139
42	491
43	48
44	348
45	1477
46	642
47	1320
48	550
49	680
50	875
51	1080
52	1295
53	603
54	1258
55	639
56	873
57	358
58	99
59	1595
60	615
61	1054
62	57
63	820
64	370
65	180
66	29
67	47
68	888
69	1310
70	860
71	1137
72	852
73	1144
74	721
75	859
76	233
77	831
78	1108
79	1401
80	924
81	1294
82	457
83	435
84	1600
85	795
86	969
87	789
88	1202
89	468
90	86
91	1287
92	1072
93	978
94	791
95	1346
96	1089
97	452
98	460
99	772
100	302
101	1135
102	353
103	1120
104	1231
105	1410
106	840
107	965
108	1605
109	1665
110	1435
111	1452
112	1588
113	324
114	374
115	412
116	771
117	1319
118	601
119	908
120	1183
121	498
122	917
123	1162
124	109
125	1101
126	1546
127	1096
128	77
129	1243
130	1427
131	1046
132	1112
133	437
134	801
135	999
136	504
137	1233
138	395
139	637
140	995
141	877
142	949
143	1358
144	957
145	1451
146	989
147	503
148	1090
149	2
150	1202
151	1261
152	646
153	1429
154	1195
155	1516
156	423
157	271
158	1001
159	529
160	732
161	247
162	1253
163	983
164	247
165	852
166	514
167	409
168	1181
169	840
170	967
171	449
172	216
173	1243
174	1329
175	343
176	930
177	865
178	1408
179	249
180	844
181	174
182	930
183	1583
184	161
185	1317
186	99
187	132
188	511
189	872
190	214
191	68
192	900
193	1073
194	1528
195	1607
196	163
197	836
198	1521
199	225
200	1156
201	818
202	1392
203	1100
204	1094
205	526
206	352
207	224
208	1579
209	802
210	662
211	843
212	1258
213	332
214	35
215	285
216	1436
217	1145
218	9
219	1413
220	1594
221	269
222	347
223	1230
224	1442
225	386
226	1477
227	416
228	903
229	653
230	579
231	66
232	1188
233	607
234	973
235	476
236	1386
237	1572
238	1270
239	687
240	1630
241	481
242	1156
243	809
244	1507
245	1437
246	634
247	1615
248	1029
249	17
250	751
251	1200
252	1570
253	703
254	858
255	584
256	108
257	1351
258	1248
259	612
260	718
261	763
262	1401
263	262
264	873
265	624
266	1039
267	1121
268	228
269	4
270	32
271	1394
272	14
273	894
274	1177
275	636
276	1454
277	1045
278	1230
279	882
280	223
281	688
282	675
283	1447
284	1259
285	630
286	873
287	626
288	563
289	837
290	518
291	680
292	922
293	491
294	1320
295	658
296	1451
297	754
298	1307
299	1005
