TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Barnesiella intestinihominis	Stool	#e8cb72	14	1.0	1.0	#01b3ec	#425ffa	Mixed	#cccccc
Bergeyella zoohelcum	R_Retroauricular_crease	#acf59a	2	1.0	1.0	#01b3ec	#425ffa	Mixed	#cccccc
Bibersteinia trehalosi	Buccal_mucosa	#445cfb	1	0.0	1.0	#8000ff	#425ffa	Mixed	#cccccc
Bifidobacterium adolescentis	Stool	#e8cb72	8	1.0	1.0	#01b3ec	#425ffa	Mixed	#cccccc
Bifidobacterium bifidum	Stool	#e8cb72	5	0.0	1.0	#8000ff	#425ffa	Mixed	#cccccc
Bifidobacterium breve	Posterior_fornix	#8efeac	2	0.0	1.0	#8000ff	#425ffa	Mixed	#cccccc
Bifidobacterium longum	Stool	#e8cb72	22	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Bifidobacterium subtile	Anterior_nares	#8000ff	4	2.0	1.0	#7effb5	#425ffa	Mixed	#cccccc
Blautia wexlerae	Stool	#e8cb72	8	2.0	1.0	#7effb5	#425ffa	Mixed	#cccccc
Brochothrix thermosphacta	Saliva	#cbe486	2	2.0	1.0	#7effb5	#425ffa	Mixed	#cccccc
Bulleidia extructa	Throat	#ff5c2f	17	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Butyricimonas virosa	Stool	#e8cb72	2	2.0	1.0	#7effb5	#425ffa	Mixed	#cccccc
Butyrivibrio crossotus	Stool	#e8cb72	6	2.0	1.0	#7effb5	#425ffa	Mixed	#cccccc
Butyrivibrio sp. AE2005	Tongue_dorsum	#ff2f18	6	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Campylobacter concisus	Attached	#622ffe	279	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Campylobacter curvus	Supragingival_plaque	#ff8646	35	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Campylobacter fetus	Keratinized_gingiva	#17cbe4	2	1.0	1.0	#01b3ec	#425ffa	Mixed	#cccccc
Campylobacter gracilis	Subgingival_plaque	#ffac5c	113	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Campylobacter hominis	R_Retroauricular_crease	#acf59a	32	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Campylobacter rectus	Subgingival_plaque	#ffac5c	108	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Campylobacter showae	Supragingival_plaque	#ff8646	265	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Campylobacter sp. 10_1_50	Attached	#622ffe	195	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Campylobacter sp. FOBRC14	Attached	#622ffe	38	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Campylobacter ureolyticus	R_Retroauricular_crease	#acf59a	16	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
candidate division SR1 bacterium RAAC1_SR1_1	Attached	#622ffe	12	2.0	1.0	#7effb5	#425ffa	Mixed	#cccccc
Candidatus Saccharibacteria bacterium RAAC3_TM7_1	Attached	#622ffe	9	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Candidatus Saccharibacteria oral taxon TM7x	Saliva	#cbe486	273	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Capnocytophaga cynodegmi	R_Retroauricular_crease	#acf59a	2	1.0	1.0	#01b3ec	#425ffa	Mixed	#cccccc
Capnocytophaga gingivalis	Supragingival_plaque	#ff8646	273	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Capnocytophaga granulosa	Supragingival_plaque	#ff8646	91	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Capnocytophaga ochracea	Supragingival_plaque	#ff8646	45	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Capnocytophaga sp. CM59	Supragingival_plaque	#ff8646	125	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Capnocytophaga sp. oral taxon 323	Supragingival_plaque	#ff8646	35	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Capnocytophaga sp. oral taxon 324	Subgingival_plaque	#ffac5c	17	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Capnocytophaga sp. oral taxon 326	Subgingival_plaque	#ffac5c	206	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Capnocytophaga sp. oral taxon 329	Supragingival_plaque	#ff8646	256	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Capnocytophaga sp. oral taxon 332	Supragingival_plaque	#ff8646	133	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Capnocytophaga sp. oral taxon 335	Supragingival_plaque	#ff8646	8	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Capnocytophaga sp. oral taxon 336	Subgingival_plaque	#ffac5c	44	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Capnocytophaga sp. oral taxon 338	Subgingival_plaque	#ffac5c	113	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Capnocytophaga sp. oral taxon 380	Supragingival_plaque	#ff8646	35	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Capnocytophaga sp. oral taxon 412	Supragingival_plaque	#ff8646	17	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Capnocytophaga sp. oral taxon 863	Supragingival_plaque	#ff8646	141	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Capnocytophaga sputigena	Supragingival_plaque	#ff8646	248	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Cardiobacterium hominis	Subgingival_plaque	#ffac5c	32	1.0	1.0	#01b3ec	#425ffa	Mixed	#cccccc
Cardiobacterium valvarum	Subgingival_plaque	#ffac5c	30	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Carnobacterium divergens	Saliva	#cbe486	2	2.0	1.0	#7effb5	#425ffa	Mixed	#cccccc
Carnobacterium maltaromaticum	Hard_palate	#08acee	279	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Catonella morbi	Subgingival_plaque	#ffac5c	277	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Cellulomonas flavigena	Throat	#ff5c2f	87	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Centipeda periodontii	Subgingival_plaque	#ffac5c	109	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Chlamydia trachomatis	Keratinized_gingiva	#17cbe4	9	0.0	1.0	#8000ff	#425ffa	Mixed	#cccccc
Clostridium botulinum	Stool	#e8cb72	1	0.0	1.0	#8000ff	#425ffa	Mixed	#cccccc
[Clostridium] clostridioforme	Stool	#e8cb72	32	0.0	1.0	#8000ff	#425ffa	Mixed	#cccccc
Clostridium sp. HGF2	Stool	#e8cb72	2	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Clostridium sp. M62/1	Stool	#e8cb72	16	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Conchiformibius steedae	R_Retroauricular_crease	#acf59a	4	1.0	1.0	#01b3ec	#425ffa	Mixed	#cccccc
Coriobacteriaceae bacterium BV3Ac1	R_Retroauricular_crease	#acf59a	2	4.0	3.0	#ff0000	#3febd5	Mixed	#cccccc
Corynebacterium argentoratense	Tongue_dorsum	#ff2f18	16	1.0	7.0	#01b3ec	#ff6232	Mixed	#cccccc
Corynebacterium diphtheriae	Anterior_nares	#8000ff	2	1.0	5.0	#01b3ec	#beec8e	Mixed	#cccccc
Corynebacterium durum	Supragingival_plaque	#ff8646	211	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Corynebacterium imitans	L_Retroauricular_crease	#34e4d9	17	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Corynebacterium matruchotii	Supragingival_plaque	#ff8646	220	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Corynebacterium vitaeruminis	Throat	#ff5c2f	30	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Dialister invisus	Stool	#e8cb72	154	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Dialister micraerophilus	Saliva	#cbe486	22	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Eggerthella lenta	Stool	#e8cb72	9	1.0	1.0	#01b3ec	#425ffa	Mixed	#cccccc
Eggerthia catenaformis	Subgingival_plaque	#ffac5c	19	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Eikenella corrodens	Subgingival_plaque	#ffac5c	71	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Enterococcus faecium	Stool	#e8cb72	2	2.0	1.0	#7effb5	#425ffa	Mixed	#cccccc
Enterococcus pallens	Throat	#ff5c2f	2	2.0	1.0	#7effb5	#425ffa	Mixed	#cccccc
Escherichia coli	Stool	#e8cb72	3	2.0	1.0	#7effb5	#425ffa	Mixed	#cccccc
Eubacterium brachy	Palatine_Tonsils	#70febc	119	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Eubacterium desmolans	Stool	#e8cb72	2	0.0	1.0	#8000ff	#425ffa	Mixed	#cccccc
[Eubacterium] eligens	Stool	#e8cb72	3	2.0	1.0	#7effb5	#425ffa	Mixed	#cccccc
[Eubacterium] infirmum	Subgingival_plaque	#ffac5c	216	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
[Eubacterium] nodatum	Subgingival_plaque	#ffac5c	14	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Eubacterium plexicaudatum	Tongue_dorsum	#ff2f18	9	1.0	1.0	#01b3ec	#425ffa	Mixed	#cccccc
[Eubacterium] rectale	Stool	#e8cb72	27	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Eubacterium saphenum	Buccal_mucosa	#445cfb	12	1.0	1.0	#01b3ec	#425ffa	Mixed	#cccccc
[Eubacterium] sulci	Tongue_dorsum	#ff2f18	271	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
[Eubacterium] yurii	Subgingival_plaque	#ffac5c	26	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Faecalibacterium prausnitzii	Stool	#e8cb72	36	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Filifactor alocis	Palatine_Tonsils	#70febc	103	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Fusobacterium gonidiaformans	Tongue_dorsum	#ff2f18	3	0.0	1.0	#8000ff	#425ffa	Mixed	#cccccc
Fusobacterium hwasookii	Supragingival_plaque	#ff8646	212	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Fusobacterium necrophorum	Palatine_Tonsils	#70febc	14	1.0	1.0	#01b3ec	#425ffa	Mixed	#cccccc
Fusobacterium nucleatum	Subgingival_plaque	#ffac5c	275	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Fusobacterium periodonticum	Throat	#ff5c2f	279	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Fusobacterium russii	Attached	#622ffe	2	0.0	1.0	#8000ff	#425ffa	Mixed	#cccccc
Fusobacterium sp. CM1	Palatine_Tonsils	#70febc	15	2.0	1.0	#7effb5	#425ffa	Mixed	#cccccc
Fusobacterium sp. CM21	Palatine_Tonsils	#70febc	19	2.0	1.0	#7effb5	#425ffa	Mixed	#cccccc
Fusobacterium sp. CM22	Supragingival_plaque	#ff8646	104	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Fusobacterium sp. OBRC1	Throat	#ff5c2f	73	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Fusobacterium sp. oral taxon 370	Tongue_dorsum	#ff2f18	200	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Gallibacterium anatis	Keratinized_gingiva	#17cbe4	9	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Gallibacterium genomosp. 1	Buccal_mucosa	#445cfb	4	0.0	1.0	#8000ff	#425ffa	Mixed	#cccccc
Gardnerella vaginalis	Vaginal_introitus	#ff0000	45	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Gemella haemolysans	Buccal_mucosa	#445cfb	268	2.0	1.0	#7effb5	#425ffa	Mixed	#cccccc
Gemella morbillorum	Attached	#622ffe	180	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Gemella sanguinis	Tongue_dorsum	#ff2f18	279	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Gordonibacter pamelaeae	Stool	#e8cb72	20	2.0	1.0	#7effb5	#425ffa	Mixed	#cccccc
Granulicatella adiacens	Attached	#622ffe	270	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Granulicatella elegans	Keratinized_gingiva	#17cbe4	162	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Gulbenkiania mobilis	L_Retroauricular_crease	#34e4d9	2	2.0	1.0	#7effb5	#425ffa	Mixed	#cccccc
Haemophilus haemolyticus	Keratinized_gingiva	#17cbe4	245	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Haemophilus influenzae	Attached	#622ffe	273	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Haemophilus parahaemolyticus	Buccal_mucosa_NA	#2686f5	156	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
Haemophilus parainfluenzae	Tongue_dorsum	#ff2f18	279	1.0	2.0	#01b3ec	#01b3ec	Mixed	#cccccc
Haemophilus paraphrohaemolyticus	Buccal_mucosa	#445cfb	82	1.0	0.0	#01b3ec	#8000ff	Mixed	#cccccc
