Unnamed: 0	TAXA	sample_type	sample_color	frequency	Gender_type	Gender_color
0	Lactobacillus iners	Posterior_fornix	#8efeac	4	Mixed	#cccccc
1	Lactobacillus kefiranofaciens	Vaginal_introitus	#ff0000	4	Mixed	#cccccc
2	Lactobacillus vaginalis	Posterior_fornix	#8efeac	4	Mixed	#cccccc
3	Propionibacterium humerusii	R_Retroauricular_crease	#acf59a	4	Mixed	#cccccc
5	Gardnerella vaginalis	Vaginal_introitus	#ff0000	4	Mixed	#cccccc
6	Finegoldia magna	R_Retroauricular_crease	#acf59a	4	Mixed	#cccccc
7	Lactobacillus crispatus	Mid_vagina	#52f5cb	4	Mixed	#cccccc
