TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Peptostreptococcus stomatis	Throat	#ff5c2f	15	1.0	5.0	#ff0000	#ff0000	Mixed	#cccccc
Porphyrobacter donghaensis	Saliva	#cbe486	5	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Porphyromonas catoniae	Subgingival_plaque	#ffac5c	14	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Porphyromonas endodontalis	Saliva	#cbe486	15	1.0	2.0	#ff0000	#4df3ce	Mixed	#cccccc
Porphyromonas gingivalis	Keratinized_gingiva	#17cbe4	11	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Porphyromonas gulae	R_Retroauricular_crease	#acf59a	2	0.0	5.0	#8000ff	#ff0000	Mixed	#cccccc
Porphyromonas levii	Throat	#ff5c2f	2	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Porphyromonas macacae	Attached	#622ffe	2	0.0	5.0	#8000ff	#ff0000	Mixed	#cccccc
Porphyromonas somerae	Palatine_Tonsils	#70febc	13	1.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Porphyromonas sp. KLE 1280	Hard_palate	#08acee	11	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Porphyromonas sp. oral taxon 278	Saliva	#cbe486	13	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Porphyromonas sp. oral taxon 279	Hard_palate	#08acee	13	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Porphyromonas uenonis	Posterior_fornix	#8efeac	2	0.0	5.0	#8000ff	#ff0000	Mixed	#cccccc
Prevotella amnii	L_Retroauricular_crease	#34e4d9	11	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Prevotella aurantiaca	Tongue_dorsum	#ff2f18	15	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Prevotella baroniae	Palatine_Tonsils	#70febc	8	0.0	5.0	#8000ff	#ff0000	Mixed	#cccccc
Prevotella bivia	Saliva	#cbe486	15	1.0	4.0	#ff0000	#ff964f	Mixed	#cccccc
Prevotella brevis	Keratinized_gingiva	#17cbe4	5	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Prevotella buccae	Saliva	#cbe486	6	0.0	3.0	#8000ff	#b2f396	Mixed	#cccccc
Prevotella buccalis	L_Retroauricular_crease	#34e4d9	4	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Prevotella conceptionensis	Subgingival_plaque	#ffac5c	13	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Prevotella corporis	R_Retroauricular_crease	#acf59a	10	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Prevotella denticola	Posterior_fornix	#8efeac	15	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Prevotella disiens	Palatine_Tonsils	#70febc	15	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Prevotella enoeca	Subgingival_plaque	#ffac5c	6	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Prevotella falsenii	Palatine_Tonsils	#70febc	6	0.0	5.0	#8000ff	#ff0000	Mixed	#cccccc
Prevotella fusca	Palatine_Tonsils	#70febc	15	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Prevotella histicola	Palatine_Tonsils	#70febc	15	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Prevotella intermedia	Palatine_Tonsils	#70febc	15	0.0	5.0	#8000ff	#ff0000	Mixed	#cccccc
Prevotella loescheii	Subgingival_plaque	#ffac5c	9	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Prevotella maculosa	Subgingival_plaque	#ffac5c	10	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Prevotella marshii	Subgingival_plaque	#ffac5c	11	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Prevotella micans	Subgingival_plaque	#ffac5c	4	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Prevotella multiformis	Subgingival_plaque	#ffac5c	13	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Prevotella nanceiensis	Hard_palate	#08acee	15	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Prevotella nigrescens	Subgingival_plaque	#ffac5c	15	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Prevotella oralis	Subgingival_plaque	#ffac5c	7	1.0	3.0	#ff0000	#b2f396	Mixed	#cccccc
Prevotella oris	Subgingival_plaque	#ffac5c	15	0.0	5.0	#8000ff	#ff0000	Mixed	#cccccc
Prevotella oulorum	Subgingival_plaque	#ffac5c	11	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Prevotella pallens	Throat	#ff5c2f	15	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Prevotella pleuritidis	Subgingival_plaque	#ffac5c	13	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Prevotella saccharolytica	Subgingival_plaque	#ffac5c	7	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Prevotella salivae	Saliva	#cbe486	15	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Prevotella scopos	Throat	#ff5c2f	15	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Prevotella shahii	Throat	#ff5c2f	13	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Prevotella sp. C561	Palatine_Tonsils	#70febc	15	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Prevotella sp. F0091	Palatine_Tonsils	#70febc	15	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Prevotella sp. HJM029	Palatine_Tonsils	#70febc	15	1.0	4.0	#ff0000	#ff964f	Mixed	#cccccc
Prevotella sp. ICM33	Saliva	#cbe486	15	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Prevotella sp. MSX73	Palatine_Tonsils	#70febc	2	0.0	5.0	#8000ff	#ff0000	Mixed	#cccccc
Prevotella sp. oral taxon 299	Attached	#622ffe	13	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Prevotella sp. oral taxon 306	Throat	#ff5c2f	15	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Prevotella sp. oral taxon 317	Subgingival_plaque	#ffac5c	10	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Prevotella sp. oral taxon 472	Subgingival_plaque	#ffac5c	4	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Prevotella sp. oral taxon 473	Keratinized_gingiva	#17cbe4	15	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Prevotella sp. S7-1-8	Posterior_fornix	#8efeac	13	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Prevotella sp. S7 MS 2	Keratinized_gingiva	#17cbe4	4	0.0	3.0	#8000ff	#b2f396	Mixed	#cccccc
Prevotella timonensis	Anterior_nares	#8000ff	14	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Prevotella veroralis	Saliva	#cbe486	15	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Propionibacterium acnes	R_Retroauricular_crease	#acf59a	1	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Propionibacterium humerusii	R_Retroauricular_crease	#acf59a	4	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Propionibacterium propionicum	Subgingival_plaque	#ffac5c	7	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Pseudoflavonifractor capillosus	Stool	#e8cb72	1	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Pseudomonas aeruginosa	Anterior_nares	#8000ff	2	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Pseudomonas fluorescens	Vaginal_introitus	#ff0000	1	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Psychrobacter sp. ENNN9_III	Throat	#ff5c2f	2	0.0	5.0	#8000ff	#ff0000	Mixed	#cccccc
Roseburia intestinalis	Stool	#e8cb72	1	0.0	5.0	#8000ff	#ff0000	Mixed	#cccccc
Rothia aeria	Supragingival_plaque	#ff8646	8	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Rothia dentocariosa	Supragingival_plaque	#ff8646	15	1.0	2.0	#ff0000	#4df3ce	Mixed	#cccccc
Rothia mucilaginosa	Hard_palate	#08acee	15	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Ruminococcus bicirculans	Stool	#e8cb72	1	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Ruminococcus faecis	Stool	#e8cb72	3	0.0	3.0	#8000ff	#b2f396	Mixed	#cccccc
Ruminococcus lactaris	Stool	#e8cb72	2	0.0	3.0	#8000ff	#b2f396	Mixed	#cccccc
Saccharophagus degradans	Throat	#ff5c2f	1	1.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Sanguibacter keddieii	Throat	#ff5c2f	15	1.0	2.0	#ff0000	#4df3ce	Mixed	#cccccc
Scardovia wiggsiae	Buccal_mucosa	#445cfb	2	1.0	3.0	#ff0000	#b2f396	Mixed	#cccccc
Selenomonas artemidis	Supragingival_plaque	#ff8646	2	0.0	3.0	#8000ff	#b2f396	Mixed	#cccccc
Selenomonas flueggei	Saliva	#cbe486	12	0.0	3.0	#8000ff	#b2f396	Mixed	#cccccc
Selenomonas infelix	Attached	#622ffe	7	1.0	4.0	#ff0000	#ff964f	Mixed	#cccccc
Selenomonas noxia	Supragingival_plaque	#ff8646	9	1.0	4.0	#ff0000	#ff964f	Mixed	#cccccc
Selenomonas sp. CM52	Subgingival_plaque	#ffac5c	6	1.0	2.0	#ff0000	#4df3ce	Mixed	#cccccc
Selenomonas sp. FOBRC6	Attached	#622ffe	4	0.0	5.0	#8000ff	#ff0000	Mixed	#cccccc
Selenomonas sp. oral taxon 137	Supragingival_plaque	#ff8646	2	1.0	3.0	#ff0000	#b2f396	Mixed	#cccccc
Selenomonas sp. oral taxon 138	Attached	#622ffe	4	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Selenomonas sp. oral taxon 149	Saliva	#cbe486	12	1.0	2.0	#ff0000	#4df3ce	Mixed	#cccccc
Selenomonas sp. oral taxon 478	Saliva	#cbe486	15	0.0	3.0	#8000ff	#b2f396	Mixed	#cccccc
Selenomonas sp. oral taxon 892	Supragingival_plaque	#ff8646	8	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Selenomonas sputigena	Subgingival_plaque	#ffac5c	6	1.0	2.0	#ff0000	#4df3ce	Mixed	#cccccc
Simonsiella muelleri	Keratinized_gingiva	#17cbe4	9	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Slackia exigua	Palatine_Tonsils	#70febc	2	0.0	5.0	#8000ff	#ff0000	Mixed	#cccccc
Slackia sp. CM382	Palatine_Tonsils	#70febc	1	0.0	5.0	#8000ff	#ff0000	Mixed	#cccccc
Snodgrassella alvi	Throat	#ff5c2f	5	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Solobacterium moorei	Palatine_Tonsils	#70febc	15	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Sphingobium yanoikuyae	Vaginal_introitus	#ff0000	2	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Staphylococcus aureus	Anterior_nares	#8000ff	2	0.0	3.0	#8000ff	#b2f396	Mixed	#cccccc
Staphylococcus pasteuri	Keratinized_gingiva	#17cbe4	13	1.0	2.0	#ff0000	#4df3ce	Mixed	#cccccc
Stenotrophomonas maltophilia	Anterior_nares	#8000ff	1	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Stenoxybacter acetivorans	Throat	#ff5c2f	2	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Stomatobaculum longum	Tongue_dorsum	#ff2f18	15	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Streptococcus agalactiae	Posterior_fornix	#8efeac	15	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Streptococcus anginosus	Buccal_mucosa_NA	#2686f5	8	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Streptococcus australis	Tongue_dorsum	#ff2f18	6	1.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Streptococcus constellatus	Palatine_Tonsils	#70febc	3	0.0	5.0	#8000ff	#ff0000	Mixed	#cccccc
Streptococcus cristatus	Keratinized_gingiva	#17cbe4	2	1.0	1.0	#ff0000	#1996f3	Mixed	#cccccc
Streptococcus gordonii	Keratinized_gingiva	#17cbe4	4	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Streptococcus infantis	Tongue_dorsum	#ff2f18	15	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Streptococcus intermedius	Subgingival_plaque	#ffac5c	1	0.0	5.0	#8000ff	#ff0000	Mixed	#cccccc
Streptococcus mitis	Buccal_mucosa_NA	#2686f5	15	1.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Streptococcus mutans	Subgingival_plaque	#ffac5c	2	1.0	1.0	#ff0000	#1996f3	Mixed	#cccccc
Streptococcus oligofermentans	Keratinized_gingiva	#17cbe4	7	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Streptococcus oralis	Buccal_mucosa_NA	#2686f5	15	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Streptococcus parasanguinis	Tongue_dorsum	#ff2f18	15	1.0	2.0	#ff0000	#4df3ce	Mixed	#cccccc
Streptococcus peroris	Throat	#ff5c2f	10	1.0	3.0	#ff0000	#b2f396	Mixed	#cccccc
Streptococcus pneumoniae	Buccal_mucosa_NA	#2686f5	15	1.0	2.0	#ff0000	#4df3ce	Mixed	#cccccc
Streptococcus pseudopneumoniae	Buccal_mucosa_NA	#2686f5	15	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Streptococcus salivarius	Tongue_dorsum	#ff2f18	15	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Streptococcus sanguinis	Supragingival_plaque	#ff8646	13	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Streptococcus sp. 1171_SSPC	Palatine_Tonsils	#70febc	7	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Streptococcus sp. 263_SSPC	Tongue_dorsum	#ff2f18	15	1.0	2.0	#ff0000	#4df3ce	Mixed	#cccccc
Streptococcus sp. 343_SSPC	Palatine_Tonsils	#70febc	7	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Streptococcus sp. 400_SSPC	Palatine_Tonsils	#70febc	8	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Streptococcus sp. ACS2	Tongue_dorsum	#ff2f18	2	1.0	1.0	#ff0000	#1996f3	Mixed	#cccccc
Streptococcus sp. AS14	Attached	#622ffe	2	0.0	5.0	#8000ff	#ff0000	Mixed	#cccccc
Streptococcus sp. C300	Attached	#622ffe	1	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Streptococcus sp. CCH5-D3	Tongue_dorsum	#ff2f18	5	0.0	3.0	#8000ff	#b2f396	Mixed	#cccccc
Streptococcus sp. CCH8-H5	Attached	#622ffe	2	1.0	3.0	#ff0000	#b2f396	Mixed	#cccccc
Streptococcus sp. CM6	Buccal_mucosa_NA	#2686f5	1	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Streptococcus sp. F0442	Palatine_Tonsils	#70febc	13	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Streptococcus sp. HPH0090	Palatine_Tonsils	#70febc	13	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Streptococcus sp. HSISS3	Buccal_mucosa_NA	#2686f5	1	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Streptococcus sp. I-G2	Tongue_dorsum	#ff2f18	5	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Streptococcus sp. I-P16	Tongue_dorsum	#ff2f18	3	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Streptococcus sp. M334	Buccal_mucosa	#445cfb	4	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Streptococcus sp. oral taxon 431	Hard_palate	#08acee	12	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Streptococcus sp. SK140	Hard_palate	#08acee	7	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Streptococcus sp. SK643	Buccal_mucosa_NA	#2686f5	2	1.0	1.0	#ff0000	#1996f3	Mixed	#cccccc
Streptococcus sp. SR4	Tongue_dorsum	#ff2f18	2	0.0	3.0	#8000ff	#b2f396	Mixed	#cccccc
Streptococcus sp. VT 162	L_Retroauricular_crease	#34e4d9	1	0.0	1.0	#8000ff	#1996f3	Mixed	#cccccc
Streptococcus suis	Buccal_mucosa_NA	#2686f5	11	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Streptococcus thermophilus	Anterior_nares	#8000ff	14	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Streptococcus vestibularis	Buccal_mucosa_NA	#2686f5	2	0.0	3.0	#8000ff	#b2f396	Mixed	#cccccc
Tannerella forsythia	Subgingival_plaque	#ffac5c	12	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Treponema denticola	Subgingival_plaque	#ffac5c	8	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Treponema lecithinolyticum	Subgingival_plaque	#ffac5c	11	0.0	5.0	#8000ff	#ff0000	Mixed	#cccccc
Treponema maltophilum	Subgingival_plaque	#ffac5c	6	1.0	4.0	#ff0000	#ff964f	Mixed	#cccccc
Treponema medium	Subgingival_plaque	#ffac5c	8	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Treponema socranskii	Subgingival_plaque	#ffac5c	11	1.0	2.0	#ff0000	#4df3ce	Mixed	#cccccc
Treponema sp. OMZ 838	Subgingival_plaque	#ffac5c	8	1.0	2.0	#ff0000	#4df3ce	Mixed	#cccccc
Treponema vincentii	Subgingival_plaque	#ffac5c	8	1.0	2.0	#ff0000	#4df3ce	Mixed	#cccccc
Trueperella pyogenes	Tongue_dorsum	#ff2f18	11	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
Varibaculum cambriense	R_Retroauricular_crease	#acf59a	5	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Veillonella atypica	Saliva	#cbe486	15	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Veillonella dispar	Throat	#ff5c2f	15	0.0	3.0	#8000ff	#b2f396	Mixed	#cccccc
Veillonella montpellierensis	Keratinized_gingiva	#17cbe4	7	0.0	3.0	#8000ff	#b2f396	Mixed	#cccccc
Veillonella parvula	Attached	#622ffe	15	0.0	4.0	#8000ff	#ff964f	Mixed	#cccccc
Veillonella sp. 3_1_44	Attached	#622ffe	13	0.0	2.0	#8000ff	#4df3ce	Mixed	#cccccc
