TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Candidatus Saccharibacteria bacterium RAAC3_TM7_1	Attached	#622ffe	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Candidatus Saccharibacteria oral taxon TM7x	Saliva	#cbe486	6	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Capnocytophaga gingivalis	Supragingival_plaque	#ff8646	6	0.0	4.0	#8000ff	#4df3ce	Mixed	#cccccc
Capnocytophaga granulosa	Supragingival_plaque	#ff8646	4	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Capnocytophaga ochracea	Supragingival_plaque	#ff8646	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Capnocytophaga sp. CM59	Supragingival_plaque	#ff8646	4	0.0	4.0	#8000ff	#4df3ce	Mixed	#cccccc
Capnocytophaga sp. oral taxon 326	Subgingival_plaque	#ffac5c	6	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Capnocytophaga sp. oral taxon 338	Subgingival_plaque	#ffac5c	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Capnocytophaga sputigena	Supragingival_plaque	#ff8646	4	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Cardiobacterium hominis	Subgingival_plaque	#ffac5c	2	9.0	6.0	#ff8c49	#b2f396	Mixed	#cccccc
Carnobacterium divergens	Saliva	#cbe486	2	8.0	1.0	#f2c26b	#4e4dfc	Mixed	#cccccc
Carnobacterium maltaromaticum	Hard_palate	#08acee	6	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Cellulomonas flavigena	Throat	#ff5c2f	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Cetobacterium somerae	Attached	#622ffe	2	10.0	4.0	#ff4a26	#4df3ce	Mixed	#cccccc
Chlamydia trachomatis	Keratinized_gingiva	#17cbe4	6	7.0	4.0	#c4e88a	#4df3ce	Mixed	#cccccc
Corynebacterium durum	Supragingival_plaque	#ff8646	6	8.0	1.0	#f2c26b	#4e4dfc	Mixed	#cccccc
Corynebacterium matruchotii	Supragingival_plaque	#ff8646	4	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Corynebacterium vitaeruminis	Throat	#ff5c2f	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Cryptobacterium curtum	Saliva	#cbe486	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Dialister invisus	Stool	#e8cb72	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Eggerthia catenaformis	Subgingival_plaque	#ffac5c	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Eikenella corrodens	Subgingival_plaque	#ffac5c	4	0.0	4.0	#8000ff	#4df3ce	Mixed	#cccccc
Eubacterium brachy	Palatine_Tonsils	#70febc	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
[Eubacterium] infirmum	Subgingival_plaque	#ffac5c	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
[Eubacterium] nodatum	Subgingival_plaque	#ffac5c	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
[Eubacterium] sulci	Tongue_dorsum	#ff2f18	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Filifactor alocis	Palatine_Tonsils	#70febc	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Fusobacterium equinum	Attached	#622ffe	2	11.0	9.0	#ff0000	#ff5029	Mixed	#cccccc
Fusobacterium mortiferum	Buccal_mucosa	#445cfb	2	10.0	4.0	#ff4a26	#4df3ce	Mixed	#cccccc
Fusobacterium necrophorum	Palatine_Tonsils	#70febc	4	2.0	4.0	#2489f5	#4df3ce	Mixed	#cccccc
Fusobacterium periodonticum	Throat	#ff5c2f	6	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Fusobacterium russii	Attached	#622ffe	4	2.0	4.0	#2489f5	#4df3ce	Mixed	#cccccc
Fusobacterium sp. CM22	Supragingival_plaque	#ff8646	2	4.0	2.0	#38e7d7	#1996f3	Mixed	#cccccc
Fusobacterium sp. OBRC1	Throat	#ff5c2f	6	7.0	4.0	#c4e88a	#4df3ce	Mixed	#cccccc
Fusobacterium varium	Attached	#622ffe	2	10.0	4.0	#ff4a26	#4df3ce	Mixed	#cccccc
Gallibacterium anatis	Keratinized_gingiva	#17cbe4	2	8.0	1.0	#f2c26b	#4e4dfc	Mixed	#cccccc
Gemella bergeri	Keratinized_gingiva	#17cbe4	6	2.0	4.0	#2489f5	#4df3ce	Mixed	#cccccc
Gemella haemolysans	Buccal_mucosa	#445cfb	10	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Gemella morbillorum	Attached	#622ffe	10	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Gemella sanguinis	Tongue_dorsum	#ff2f18	10	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Geobacillus stearothermophilus	Attached	#622ffe	2	1.0	3.0	#5247fc	#18cde4	Mixed	#cccccc
Granulicatella elegans	Keratinized_gingiva	#17cbe4	10	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Haemophilus haemolyticus	Keratinized_gingiva	#17cbe4	10	5.0	0.0	#66fcc2	#8000ff	Mixed	#cccccc
Haemophilus influenzae	Attached	#622ffe	10	3.0	0.0	#0ac0e8	#8000ff	Mixed	#cccccc
Haemophilus parahaemolyticus	Buccal_mucosa_NA	#2686f5	6	7.0	4.0	#c4e88a	#4df3ce	Mixed	#cccccc
Haemophilus parainfluenzae	Tongue_dorsum	#ff2f18	10	6.0	4.0	#96fca7	#4df3ce	Mixed	#cccccc
Haemophilus sp. oral taxon 851	Keratinized_gingiva	#17cbe4	8	3.0	0.0	#0ac0e8	#8000ff	Mixed	#cccccc
