	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor
0	Coriobacteriia	Clostridia	1.0	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc
1	Clostridia	Coriobacteriia	1.0	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc
2	Deltaproteobacteria	Bacteroidia	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
3	Bacteroidia	Deltaproteobacteria	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
4	Epsilonproteobacteria	Actinobacteria	1.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
5	Actinobacteria	Epsilonproteobacteria	1.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
6	Epsilonproteobacteria	Alphaproteobacteria	1.0	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc
7	Alphaproteobacteria	Epsilonproteobacteria	1.0	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc
8	Epsilonproteobacteria	Bacteroidia	1.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc
9	Bacteroidia	Epsilonproteobacteria	1.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc
10	Fusobacteriia	Epsilonproteobacteria	1.0	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc
11	Epsilonproteobacteria	Fusobacteriia	1.0	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc
12	Mollicutes	Coriobacteriia	1.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce
13	Coriobacteriia	Mollicutes	1.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce
14	Negativicutes	Betaproteobacteria	1.0	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc
15	Betaproteobacteria	Negativicutes	1.0	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc
16	Negativicutes	Epsilonproteobacteria	1.0	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc
17	Epsilonproteobacteria	Negativicutes	1.0	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc
18	Spirochaetia	Mollicutes	1.0	Subgingival_plaque	Posterior_fornix	Intertype	#e4cf74	#4df3ce	#cccccc
19	Mollicutes	Spirochaetia	1.0	Posterior_fornix	Subgingival_plaque	Intertype	#4df3ce	#e4cf74	#cccccc
20	Verrucomicrobiae	Cytophagia	1.0	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc
21	Cytophagia	Verrucomicrobiae	1.0	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc
