	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
89	Dehalobacter	1	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
90	Eggerthella	1	Stool	#b2f396	10.0	14.0	#8cfead	#c4e88a
91	Catabacter	1	Stool	#b2f396	10.0	14.0	#8cfead	#c4e88a
92	Elizabethkingia	10	Buccal_mucosa	#1996f3	11.0	7.0	#a6f89d	#22d6e0
93	Alicycliphilus	6	Buccal_mucosa	#1996f3	11.0	7.0	#a6f89d	#22d6e0
94	Elizabethkingia	10	Buccal_mucosa	#1996f3	11.0	7.0	#a6f89d	#22d6e0
95	Dechloromonas	21	Buccal_mucosa	#1996f3	11.0	7.0	#a6f89d	#22d6e0
96	Enhydrobacter	3	Posterior_fornix	#4df3ce	17.0	12.0	#ff532a	#96fca7
97	Bosea	16	Posterior_fornix	#4df3ce	17.0	12.0	#ff532a	#96fca7
98	Enterorhabdus	10	Stool	#b2f396	19.0	16.0	#ff0000	#f2c26b
99	Cellulomonas	6	Stool	#b2f396	19.0	16.0	#ff0000	#f2c26b
100	Erysipelatoclostridium	5	Stool	#b2f396	10.0	14.0	#8cfead	#c4e88a
101	Catabacter	1	Stool	#b2f396	10.0	14.0	#8cfead	#c4e88a
102	Erysipelatoclostridium	5	Stool	#b2f396	10.0	14.0	#8cfead	#c4e88a
103	Eggerthella	1	Stool	#b2f396	10.0	14.0	#8cfead	#c4e88a
104	Escherichia	17	Stool	#b2f396	19.0	16.0	#ff0000	#f2c26b
105	Enterorhabdus	10	Stool	#b2f396	19.0	16.0	#ff0000	#f2c26b
106	Exiguobacterium	1	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
107	Arcanobacterium	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
108	Exiguobacterium	1	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
109	Aureimonas	8	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
110	Exiguobacterium	1	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
111	Crocosphaera	19	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
112	Facklamia	4	Posterior_fornix	#4df3ce	0.0	5.0	#8000ff	#0ea5ef
113	Brevibacterium	14	Posterior_fornix	#4df3ce	0.0	5.0	#8000ff	#0ea5ef
114	Facklamia	4	Posterior_fornix	#4df3ce	0.0	5.0	#8000ff	#0ea5ef
115	Burkholderia	2	Posterior_fornix	#4df3ce	9.0	5.0	#70febc	#0ea5ef
116	Faecalicoccus	2	Stool	#b2f396	10.0	14.0	#8cfead	#c4e88a
117	Catabacter	1	Stool	#b2f396	10.0	14.0	#8cfead	#c4e88a
118	Faecalicoccus	2	Stool	#b2f396	10.0	14.0	#8cfead	#c4e88a
119	Eggerthella	1	Stool	#b2f396	10.0	14.0	#8cfead	#c4e88a
120	Faecalicoccus	2	Stool	#b2f396	10.0	14.0	#8cfead	#c4e88a
121	Erysipelatoclostridium	5	Stool	#b2f396	10.0	14.0	#8cfead	#c4e88a
122	Faecalitalea	2	Stool	#b2f396	1.0	0.0	#6629fe	#8000ff
123	Anaerotruncus	30	Stool	#b2f396	1.0	0.0	#6629fe	#8000ff
124	Faecalitalea	2	Stool	#b2f396	1.0	0.0	#6629fe	#8000ff
125	Butyricicoccus	19	Stool	#b2f396	1.0	0.0	#6629fe	#8000ff
126	Fenollaria	1	Posterior_fornix	#4df3ce	17.0	12.0	#ff532a	#96fca7
127	Bosea	16	Posterior_fornix	#4df3ce	17.0	12.0	#ff532a	#96fca7
128	Fenollaria	1	Posterior_fornix	#4df3ce	17.0	12.0	#ff532a	#96fca7
129	Enhydrobacter	3	Posterior_fornix	#4df3ce	17.0	12.0	#ff532a	#96fca7
130	Flavobacterium	40	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
131	Afipia	24	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
132	Flavobacterium	40	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
133	Bradyrhizobium	43	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
134	Flavobacterium	40	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
135	Citrobacter	1	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
136	Flavobacterium	40	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
137	Conchiformibius	13	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
138	Gallibacterium	5	Attached	#4e4dfc	4.0	3.0	#169bf2	#3c68f9
139	Actinobacillus	10	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
140	Gallibacterium	5	Attached	#4e4dfc	4.0	3.0	#169bf2	#3c68f9
141	Avibacterium	9	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
142	Gallibacterium	5	Attached	#4e4dfc	4.0	3.0	#169bf2	#3c68f9
143	Basfia	23	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
144	Gallibacterium	5	Attached	#4e4dfc	4.0	3.0	#169bf2	#3c68f9
145	Bibersteinia	1	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
146	Gallibacterium	5	Attached	#4e4dfc	4.0	3.0	#169bf2	#3c68f9
147	Dehalobacter	1	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
